GeneID	KOG Gene ID	Identity	Align Length	Q start	Q end	T start	T end	E value	Score	KOG ID	Classification flag	Description
Ss05g20860.1	At1g77330	64.486	321	1	304	1	314	3.14E-144	409	KOG0143	QR	Secondary metabolites biosynthesis, transport and catabolism; General function prediction only
Ss05g20870.1	At1g77330	64.174	321	186	489	1	314	4.58E-141	409	KOG0143	QR	Secondary metabolites biosynthesis, transport and catabolism; General function prediction only
Ss05g20850.1	At1g07220	57.569	436	14	437	45	473	0	528	KOG2458	R	General function prediction only
Ss05g20910.1	At5g56680	68.063	573	1	556	1	572	0	804	KOG0554	J	Translation, ribosomal structure and biogenesis
Ss05g20920.1	At3g05030	69.63	540	6	537	5	541	0	761	KOG1965	P	Inorganic ion transport and metabolism
Ss09g08350.1	At2g05940	61.697	389	5	390	8	390	1.32E-165	476	KOG1187	T	Signal transduction mechanisms
Ss09g08360.1	At1g63490	29.109	505	40	494	443	892	2.35E-43	166	KOG1246	R	General function prediction only
Ss05g22100.1	At1g23380	51.145	131	10	136	61	190	1.30E-38	130	KOG0773	K	Transcription
Ss05g22180.1	At1g74900	29.933	451	10	432	9	446	1.55E-52	187	KOG4197	R	General function prediction only
Ss03g25640.1	At1g47510	58.94	302	30	331	30	327	7.65E-132	380	KOG0565	U	Intracellular trafficking, secretion, and vesicular transport
Ss03g25650.1	At5g41980	42.652	279	59	337	37	301	2.12E-68	221	KOG4585	L	Replication, recombination and repair
Ss03g25630.1	At4g34370	46.881	529	1	524	5	524	4.20E-176	510	KOG1815	O	Posttranslational modification, protein turnover, chaperones
Ss03g25610.1	At1g47550	71.889	900	1	890	1	861	0	1290	KOG2148	U	Intracellular trafficking, secretion, and vesicular transport
Ss03g25570.1	At2g26490	52.163	416	6	417	12	421	1.07E-149	435	KOG4155	R	General function prediction only
Ss04g12420.1	At1g13450	60.218	367	10	363	61	413	2.93E-150	431	KOG4282	K	Transcription
Ss04g12430.1	At3g25980	86.538	208	1	207	1	208	6.29E-133	372	KOG3285	ZD	Cytoskeleton; Cell cycle control, cell division, chromosome partitioning
Ss04g12460.1	At1g27880	48.272	955	7	916	2	933	0	840	KOG0351	L	Replication, recombination and repair
Ss04g12440.1	At1g13440	90.634	331	3	333	5	335	0	622	KOG0657	G	Carbohydrate transport and metabolism
Ss04g12450.1	At3g27260	38.978	744	93	778	1	711	3.66E-107	348	KOG1474	K	Transcription
Ss04g12480.1	At5g03860	76.287	544	9	552	15	556	0	872	KOG1261	C	Energy production and conversion
Ss04g12490.1	At1g51540_2	79.94	334	91	424	1	334	0	580	KOG1072	R	General function prediction only
Ss08g04410.1	At3g20810	53.885	399	10	403	19	409	4.26E-146	422	KOG2132	BT	Chromatin structure and dynamics; Signal transduction mechanisms
Ss08g04360.1	At2g44480	50.405	494	11	503	23	508	0	525	KOG0626	G	Carbohydrate transport and metabolism
Ss08g04350.1	At3g57910	50	250	8	248	19	265	5.48E-65	204	KOG1994	A	RNA processing and modification
Ss08g04370.1	At2g44480	50.105	475	29	502	35	508	1.68E-180	518	KOG0626	G	Carbohydrate transport and metabolism
Ss11g17340.1	At1g43710	79.736	454	26	478	32	482	0	762	KOG0629	E	Amino acid transport and metabolism
Ss11g17370.1	At2g03120	67.213	122	21	118	5	126	1.84E-32	118	KOG2443	S	Function unknown
Ss11g17380.1	At3g33520	58.763	97	40	122	245	341	1.07E-28	108	KOG0676	Z	Cytoskeleton
Ss01g00310.1	At2g07698_2	65.116	43	50	92	464	504	2.12E-09	53.9	KOG1353	C	Energy production and conversion
Ss01g00350.1	At5g62890	40.639	219	2	138	5	223	1.49E-39	141	KOG1292	F	Nucleotide transport and metabolism
Ss01g00340.1	At5g60420	45.905	525	369	871	2	509	6.25E-120	374	KOG2169	K	Transcription
Ss01g00380.1	At2g37090	44.855	379	1	358	1	351	7.59E-98	295	KOG1476	O	Posttranslational modification, protein turnover, chaperones
Ss11g00760.1	At3g26420	75	48	19	66	37	84	3.76E-18	79.7	KOG0118	R	General function prediction only
Ss06g00380.1	At5g54080	75.333	450	17	465	13	461	0	726	KOG1417	E	Amino acid transport and metabolism
Ss06g00370.1	At1g29400	54.023	783	47	807	27	763	0	736	KOG4660	D	Cell cycle control, cell division, chromosome partitioning
Ss06g00330.1	At1g61510	36.649	191	75	264	271	460	5.35E-39	144	KOG4585	L	Replication, recombination and repair
Ss06g00290.1	At5g24930	31.214	173	108	268	192	357	3.80E-13	70.5	KOG1601	K	Transcription
Ss06g19260.1	At4g04940	60.876	639	199	812	319	931	0	776	KOG1539	R	General function prediction only
Ss06g19270.1	At1g80510	61.771	497	1	484	1	489	0	573	KOG1305	E	Amino acid transport and metabolism
Ss06g19280.1	At5g35080	47.465	217	66	279	3	205	7.07E-66	206	KOG3394	R	General function prediction only
Ss06g19290.1	At4g10320	63.86	1259	1	1172	1	1253	0	1633	KOG0434	J	Translation, ribosomal structure and biogenesis
Ss03g31290.1	At5g66590	51.095	137	52	185	49	185	3.69E-42	140	KOG3017	S	Function unknown
Ss03g27490.1	At5g27420	48.864	88	3	79	109	195	1.08E-20	86.7	KOG0800	O	Posttranslational modification, protein turnover, chaperones
Ss02g07810.1	At1g49050	44.076	633	1	606	1	584	6.44E-167	489	KOG1339	O	Posttranslational modification, protein turnover, chaperones
Ss02g07820.1	At3g18440	60.19	525	50	566	57	578	0	612	KOG4711	R	General function prediction only
Ss02g07830.1	At1g54770	48.876	178	7	180	9	181	1.20E-51	165	KOG3100	S	Function unknown
Ss02g07860.1	At1g22940	68.485	495	43	529	30	518	0	684	KOG2598	HK	Coenzyme transport and metabolism; Transcription
Ss02g07870.1	At3g48000	73.953	549	1	548	1	538	0	851	KOG2450	C	Energy production and conversion
Ss02g07880.1	At1g72310	40.964	83	58	140	102	184	3.63E-19	83.6	KOG0800	O	Posttranslational modification, protein turnover, chaperones
Ss02g07890.1	At3g01470	46.082	319	1	318	1	272	2.16E-71	223	KOG0483	K	Transcription
Ss01g25490.1	AtCh073	76.587	252	1	252	253	504	2.80E-119	351	KOG4845	C	Energy production and conversion
Ss01g25470.1	At1g11260	66.4	500	1	499	1	500	0	675	KOG0254	R	General function prediction only
Ss01g25450.1	At1g72660	91.709	398	1	398	1	398	0	771	KOG1486	T	Signal transduction mechanisms
Ss03g25040.1	At5g15490	87.083	480	1	480	1	480	0	887	KOG2666	TG	Signal transduction mechanisms; Carbohydrate transport and metabolism
Ss03g25000.1	At1g69370	70.673	208	1	206	109	316	2.48E-105	306	KOG0795	E	Amino acid transport and metabolism
Ss03g25030.1	At1g02030	25.887	282	29	260	1	265	1.15E-09	59.3	KOG1721	R	General function prediction only
Ss05g06710.1	At3g59840	56.311	103	1	103	366	462	9.55E-29	108	KOG1196	R	General function prediction only
Ss05g06730.1	At2g32340_2	47.17	159	219	377	16	136	6.87E-41	144	KOG2860	T	Signal transduction mechanisms
Ss02g33570.1	At5g42560	48.173	301	9	277	34	319	3.50E-84	256	KOG1726	V	Defense mechanisms
Ss02g33530.1	At4g39030	62.931	348	70	417	93	440	4.59E-160	465	KOG1347	R	General function prediction only
Ss02g33520.1	At1g66070	55.794	233	1	230	1	226	5.68E-68	209	KOG4813	J	Translation, ribosomal structure and biogenesis
Ss02g33550.1	At2g45640	72	125	26	149	27	151	1.77E-61	187	KOG3391	K	Transcription
Ss02g33540.1	At2g45620	51.651	424	154	572	345	748	1.19E-136	417	KOG2277	D	Cell cycle control, cell division, chromosome partitioning
Ss02g33490.1	At2g46600	59.813	107	17	123	42	147	1.32E-38	129	KOG0028	ZD	Cytoskeleton; Cell cycle control, cell division, chromosome partitioning
Ss02g33480.1	At5g24330_2	81.159	138	211	347	1	138	1.08E-77	236	KOG1083	K	Transcription
Ss08g15870.1	At5g54100	67.541	305	23	304	82	385	4.58E-143	412	KOG2620	C	Energy production and conversion
Ss08g15860.1	At1g80770	63.333	360	78	433	86	445	2.43E-169	484	KOG1490	R	General function prediction only
Ss08g15850.1	At5g45420	42.387	243	75	309	116	348	2.12E-54	182	KOG0724	O	Posttranslational modification, protein turnover, chaperones
Ss07g14610.1	At1g16650	46.127	581	18	578	6	529	2.43E-166	485	KOG2651	A	RNA processing and modification
Ss07g14570.1	At5g44560	79.736	227	1	227	1	221	2.33E-124	352	KOG3230	U	Intracellular trafficking, secretion, and vesicular transport
Ss01g34630.1	At3g06720	80.97	536	1	531	1	532	0	893	KOG0166	U	Intracellular trafficking, secretion, and vesicular transport
Ss01g34580.1	At4g02080	92.228	193	1	193	1	193	1.52E-133	373	KOG0077	U	Intracellular trafficking, secretion, and vesicular transport
Ss01g34550.1	At3g66654	45.098	51	1	51	1	51	1.88E-09	52.4	KOG0882	O	Posttranslational modification, protein turnover, chaperones
Ss01g34560.1	At3g16830	69.87	1155	1	1133	1	1139	0	1625	KOG0266	R	General function prediction only
Ss11g06520.1	At3g56930	56.757	296	13	305	9	304	2.79E-118	354	KOG1311	R	General function prediction only
Ss05g03510.1	At5g49540	61.364	88	11	98	14	101	1.16E-32	113	KOG4455	S	Function unknown
Ss05g03520.1	At1g70190	50.602	166	34	196	44	208	1.85E-51	166	KOG1715	J	Translation, ribosomal structure and biogenesis
Ss05g03500.1	At1g15110	78.167	371	6	376	18	384	0	622	KOG2735	I	Lipid transport and metabolism
Ss05g03470.1	At5g25510	66.667	498	1	498	1	491	0	691	KOG2085	T	Signal transduction mechanisms
Ss05g03480.1	At1g80350	80.88	523	2	519	5	523	0	855	KOG0738	O	Posttranslational modification, protein turnover, chaperones
Ss05g03460.1	At1g80380	64.23	383	48	404	6	386	0	520	KOG2878	R	General function prediction only
Ss11g06500.1	Hs19924119	32.258	217	29	243	68	278	2.09E-26	106	KOG1433	L	Replication, recombination and repair
Ss03g10710.1	At5g16080	50.613	326	21	341	25	342	4.67E-111	328	KOG1515	V	Defense mechanisms
Ss03g10670.1	At1g18260	63.404	664	4	667	296	943	0	890	KOG1550	MTO	Cell wall/membrane/envelope biogenesis; Signal transduction mechanisms; Posttranslational modification, protein turnover, chaperones
Ss03g10700.1	At3g44640	39.13	69	2	70	111	179	2.03E-09	54.7	KOG4585	L	Replication, recombination and repair
Ss03g10650.1	At1g73930	62.993	608	28	613	18	617	0	766	KOG2432	S	Function unknown
Ss04g04090.1	At3g26300	40.919	457	8	453	32	478	3.71E-115	350	KOG0156	Q	Secondary metabolites biosynthesis, transport and catabolism
Ss04g04020.1	At5g43990	38.224	777	9	770	8	702	1.11E-155	471	KOG1082	KB	Transcription; Chromatin structure and dynamics
Ss04g04050.1	At4g19610	39.808	520	49	563	1	451	7.33E-100	322	KOG0110	R	General function prediction only
Ss04g04040.1	At4g19610	44.783	230	3	178	514	743	5.10E-48	167	KOG0110	R	General function prediction only
Ss04g04110.1	At3g45890	59.619	525	118	601	110	619	0	573	KOG4249	S	Function unknown
Ss01g08510.1	At5g58860	71.23	504	10	513	7	508	0	761	KOG0157	QI	Secondary metabolites biosynthesis, transport and catabolism; Lipid transport and metabolism
Ss01g08470.1	At4g18770	60.993	141	137	276	213	350	2.10E-56	193	KOG0048	K	Transcription
Ss01g08450.1	At1g07270	57.74	407	82	480	96	500	2.36E-169	488	KOG2227	LD	Replication, recombination and repair; Cell cycle control, cell division, chromosome partitioning
Ss02g26830.1	At2g19600	74.954	547	51	588	41	574	0	768	KOG1650	P	Inorganic ion transport and metabolism
Ss02g26840.1	At5g47240	51.751	257	79	312	21	276	2.76E-92	277	KOG0648	T	Signal transduction mechanisms
Ss02g26790.1	At1g73010	61.472	231	7	237	14	244	1.08E-108	317	KOG3120	R	General function prediction only
Ss02g26800.1	At4g26180	68.196	327	3	324	2	322	7.84E-154	435	KOG0752	C	Energy production and conversion
Ss02g26810.1	At4g32980	38.418	354	157	498	137	444	2.94E-57	199	KOG0773	K	Transcription
Ss02g26780.1	At4g04470	63.043	184	1	184	1	184	3.67E-82	243	KOG1944	R	General function prediction only
Ss02g23520.1	At2g19340	64.835	182	1	182	1	173	1.63E-84	248	KOG3356	S	Function unknown
Ss06g02730.1	At1g12360	65.679	641	30	666	1	637	0	869	KOG1300	U	Intracellular trafficking, secretion, and vesicular transport
Ss02g23480.1	At3g18180	41.555	373	174	542	105	466	8.45E-101	313	KOG4698	S	Function unknown
Ss06g02660.1	At2g45290	80.764	707	54	753	35	740	0	1221	KOG0523	G	Carbohydrate transport and metabolism
Ss06g02670.1	At2g45300	79.828	466	43	508	60	520	0	771	KOG0692	E	Amino acid transport and metabolism
Ss06g02700.1	At4g12130	50.943	371	14	381	19	342	4.45E-125	366	KOG2929	K	Transcription
Ss06g02680.1	At2g45330	72.059	204	73	276	54	257	2.26E-111	323	KOG2278	J	Translation, ribosomal structure and biogenesis
Ss10g12710.1	At1g18480_2	31.084	904	80	913	44	939	1.19E-145	456	KOG4197	R	General function prediction only
Ss10g12730.1	AtCh078	77.966	118	1	117	1	118	2.15E-53	172	KOG4770	C	Energy production and conversion
Ss10g12740.1	At5g62600	63.139	548	9	549	7	550	0	691	KOG2081	U	Intracellular trafficking, secretion, and vesicular transport
Ss10g12670.1	At5g28900	74.019	535	9	541	9	536	0	833	KOG2562	A	RNA processing and modification
Ss10g12680.1	At1g08610	42.245	490	57	546	60	543	4.24E-137	410	KOG4197	R	General function prediction only
Ss10g12690.1	At3g04490_2	44.651	645	273	893	1	582	1.11E-163	504	KOG4541	YU	Nuclear structure; Intracellular trafficking, secretion, and vesicular transport
Ss03g13150.1	At3g24830	50.267	187	1	153	1	184	3.12E-56	176	KOG3204	J	Translation, ribosomal structure and biogenesis
Ss03g13160.1	At3g54050	82.016	367	47	412	54	417	0	633	KOG1458	G	Carbohydrate transport and metabolism
Ss03g13130.1	At1g53540	67.273	165	1	159	1	157	1.23E-70	211	KOG0710	O	Posttranslational modification, protein turnover, chaperones
Ss03g13140.1	At1g53540	66.667	165	1	157	1	157	6.06E-70	209	KOG0710	O	Posttranslational modification, protein turnover, chaperones
Ss03g13110.1	At1g53540	70.122	164	1	156	1	157	1.13E-73	218	KOG0710	O	Posttranslational modification, protein turnover, chaperones
Ss03g13090.1	At1g53540	68.902	164	1	156	1	157	2.23E-71	213	KOG0710	O	Posttranslational modification, protein turnover, chaperones
Ss03g13100.1	At1g53540	70.122	164	1	156	1	157	1.13E-73	218	KOG0710	O	Posttranslational modification, protein turnover, chaperones
Ss09g11950.1	At3g07170	45.113	133	153	276	86	202	6.27E-23	95.1	KOG4374	A	RNA processing and modification
Ss09g11960.1	At1g04850	47.853	163	76	235	242	400	2.72E-46	159	KOG2699	O	Posttranslational modification, protein turnover, chaperones
Ss09g12020.1	At2g22070	36.458	768	38	741	20	786	1.75E-172	516	KOG4197	R	General function prediction only
Ss09g11990.1	At2g32780	35.311	354	395	722	29	369	2.02E-55	213	KOG1873	O	Posttranslational modification, protein turnover, chaperones
Ss09g12000.1	At3g07220	62.874	334	83	413	2	320	5.77E-137	395	KOG2294	K	Transcription
Ss05g05090.1	At1g16740	90.179	112	47	158	1	112	8.06E-72	213	KOG4707	J	Translation, ribosomal structure and biogenesis
Ss02g04860.1	At2g06510	60.433	647	8	631	5	640	0	806	KOG0851	L	Replication, recombination and repair
Ss02g04800.1	At1g34070	47.619	42	25	66	13	54	3.07E-08	50.1	KOG0017	R	General function prediction only
Ss02g04790.1	At4g33200	58.614	1515	1	1515	9	1362	0	1714	KOG0160	Z	Cytoskeleton
Ss02g04780.1	At2g05940	65.16	376	1	360	7	382	3.12E-174	496	KOG1187	T	Signal transduction mechanisms
Ss02g04850.1	At3g13540	58.904	146	6	151	17	157	1.92E-57	184	KOG0048	K	Transcription
Ss02g04840.1	At1g54210	78.125	96	1	91	1	96	1.84E-48	150	KOG3439	O	Posttranslational modification, protein turnover, chaperones
Ss05g10810.1	At1g33430	65.729	391	2	384	7	393	0	528	KOG2288	G	Carbohydrate transport and metabolism
Ss01g11600.1	At5g63570	70.732	287	3	289	2	285	2.81E-146	420	KOG1401	E	Amino acid transport and metabolism
Ss01g11590.1	At5g12200	74.624	532	1	532	1	530	0	840	KOG2584	F	Nucleotide transport and metabolism
