Gene_ID	NR_ID	Identity	Align Length	Q start	Q end	T start	T end	E value	Score	Function
Ss03g34290.1	XP_015629828.1	58.7	728	21	719	38	753	1.10E-216	758.4	XP_015629828.1 WPP domain-associated protein [Oryza sativa Japonica Group]
Ss03g34280.1	XP_006650685.1	90.1	352	1	351	1	351	2.70E-173	613.2	XP_006650685.1 PREDICTED: endoplasmic reticulum-Golgi intermediate compartment protein 3 [Oryza brachyantha]
Ss07g10020.1	EAY82211.1	78.2	458	41	498	45	501	5.80E-206	722.2	EAY82211.1 hypothetical protein OsI_37414 [Oryza sativa Indica Group]
Ss07g10010.1	XP_015619620.1	87.6	635	1	625	1	635	1.60E-301	1040	XP_015619620.1 2-isopropylmalate synthase A [Oryza sativa Japonica Group]
Ss02g12980.1	EAY95267.1	76.9	216	1	209	1	212	2.10E-85	320.5	EAY95267.1 hypothetical protein OsI_17090 [Oryza sativa Indica Group]
Ss02g12970.1	XP_015649958.1	49.7	1502	1	1448	1	1463	0.00E+00	1164.4	XP_015649958.1 uncharacterized protein LOC4345630 [Oryza sativa Japonica Group]
Ss02g12960.1	NP_001152262.2	81.8	433	70	502	79	511	2.40E-220	770	NP_001152262.2 transferase, transferring glycosyl groups [Zea mays]
Ss02g12950.1	XP_015697115.1	76.4	347	52	396	127	454	1.00E-150	538.5	XP_015697115.1 PREDICTED: uncharacterized calcium-binding protein At1g02270 [Oryza brachyantha]
Ss02g12940.1	XP_012702048.1	66.8	388	1	388	1	388	2.70E-140	503.8	XP_012702048.1 mechanosensitive ion channel protein 1, mitochondrial isoform X1 [Setaria italica]
Ss02g12930.1	AFD18905.1	78.9	304	1	274	1	304	2.30E-111	407.1	AFD18905.1 carotenoid hydroxylase [Zea mays]
Ss02g12920.1	EEC73789.1	87.6	291	1	291	1	291	8.80E-130	468.4	EEC73789.1 hypothetical protein OsI_08476 [Oryza sativa Indica Group]
Ss02g12910.1	PUZ60637.1	79.5	83	1	83	1	75	1.50E-24	117.1	PUZ60637.1 hypothetical protein GQ55_4G159700 [Panicum hallii var. hallii]
Ss02g12900.1	XP_004953447.1	75.2	678	26	697	29	706	1.80E-298	1030	XP_004953447.1 pentatricopeptide repeat-containing protein At1g11290, chloroplastic [Setaria italica]
Ss05g05170.1	XP_003568248.1	72.3	719	1	708	1	708	2.70E-288	996.5	XP_003568248.1 serine/threonine-protein phosphatase 7 long form homolog [Brachypodium distachyon]
Ss02g25670.1	XP_020148526.1	34	159	2	139	56	214	4.20E-17	93.2	XP_020148526.1 uncharacterized protein LOC109733718 [Aegilops tauschii subsp. tauschii]
Ss02g25660.1	EEC74072.1	48.9	262	8	191	26	287	7.80E-56	222.6	EEC74072.1 hypothetical protein OsI_09086 [Oryza sativa Indica Group]
Ss02g25650.1	RLN11619.1	67.2	351	1	334	1	343	2.20E-124	450.7	RLN11619.1 NAC domain-containing protein 76 [Panicum miliaceum]
Ss02g25640.1	XP_019704677.1	68.8	64	43	106	40	101	3.00E-14	83.2	XP_019704677.1 PREDICTED: uncharacterized protein LOC109505611 [Elaeis guineensis]
Ss02g25620.1	OEL38665.1	73.7	38	27	64	43	80	1.20E-06	57.8	OEL38665.1 GTP-binding protein SAR1A [Dichanthelium oligosanthes]
Ss02g25610.1	XP_025815288.1	87.8	386	1	386	1	386	4.10E-199	699.1	XP_025815288.1 spermine synthase-like [Panicum hallii]
Ss02g25600.1	XP_006647126.1	83.9	690	21	709	11	700	0.00E+00	1147.9	XP_006647126.1 PREDICTED: cyclic nucleotide-gated ion channel 1 [Oryza brachyantha]
Ss02g25690.1	XP_010227644.1	45.3	128	1	123	5	127	2.90E-16	90.1	XP_010227644.1 uncharacterized protein LOC104581546 [Brachypodium distachyon]
Ss02g25680.1	XP_010227644.1	45.3	128	1	123	5	127	2.90E-16	90.1	XP_010227644.1 uncharacterized protein LOC104581546 [Brachypodium distachyon]
Ss03g11490.1	RLN43314.1	73.2	336	1	324	1	336	3.20E-128	463.4	RLN43314.1 thaumatin-like protein 1b [Panicum miliaceum]
Ss03g11480.1	XP_004985029.1	70.9	326	1	304	1	326	1.60E-121	441	XP_004985029.1 thaumatin-like protein 1b [Setaria italica]
Ss03g11470.1	OEL34574.1	92.3	495	2	496	5	493	3.20E-271	939.1	OEL34574.1 Auxin transporter-like protein 2 [Dichanthelium oligosanthes]
Ss03g11460.1	AAK91880.1	72.8	669	1	654	1	660	1.70E-258	897.1	AAK91880.1 Unknown protein [Oryza sativa]
Ss03g11450.1	OAY85317.1	52.2	90	8	97	21	108	3.40E-14	83.6	OAY85317.1 hypothetical protein ACMD2_05684 [Ananas comosus]
Ss03g11440.1	RLN41803.1	69	168	1	155	1	160	2.20E-42	177.2	RLN41803.1 chaperone protein dnaJ 11, chloroplastic [Panicum miliaceum]
Ss03g11430.1	EEC74857.1	74.3	304	1	303	1	304	1.80E-125	454.1	EEC74857.1 hypothetical protein OsI_10728 [Oryza sativa Indica Group]
Ss03g11420.1	BAK07463.1	67.5	166	4	167	22	187	3.30E-57	227.3	BAK07463.1 predicted protein, partial [Hordeum vulgare subsp. vulgare]
Ss03g11510.1	XP_004985031.1	71.6	183	53	226	27	208	3.30E-63	246.9	XP_004985031.1 calmodulin-lysine N-methyltransferase isoform X1 [Setaria italica]
Ss03g11500.1	XP_020169287.1	80.5	118	1	118	227	344	2.40E-52	209.9	XP_020169287.1 calmodulin-lysine N-methyltransferase isoform X1 [Aegilops tauschii subsp. tauschii]
Ss06g03320.1	XP_004964534.1	77.4	274	1	274	166	438	7.00E-129	465.3	XP_004964534.1 pectate lyase [Setaria italica]
Ss06g03310.1	PSS24325.1	46.2	91	89	154	327	417	1.00E-15	88.6	PSS24325.1 Orotidine 5'-phosphate decarboxylase [Actinidia chinensis var. chinensis]
Ss06g03300.1	XP_015644281.1	89.1	678	1	678	1	663	0.00E+00	1187.6	XP_015644281.1 translation factor GUF1 homolog, mitochondrial [Oryza sativa Japonica Group]
Ss06g03290.1	XP_020399034.1	64.5	397	1	372	162	555	8.60E-146	521.9	XP_020399034.1 uncharacterized protein LOC103645288 [Zea mays]
Ss06g03280.1	XP_006656627.1	75.5	489	1	482	1	486	2.10E-216	756.9	XP_006656627.1 PREDICTED: carboxypeptidase SOL1 [Oryza brachyantha]
Ss06g03270.1	XP_015643230.1	77.9	673	1	673	1	667	5.50E-292	1008.4	XP_015643230.1 probable sulfate transporter 3.4 [Oryza sativa Japonica Group]
Ss06g03260.1	XP_004964527.1	90.7	910	1	900	1	910	0.00E+00	1312.4	XP_004964527.1 coatomer subunit beta'-1 [Setaria italica]
Ss06g03250.1	EEC79976.1	72.6	358	1	358	21	365	1.20E-141	508.1	EEC79976.1 hypothetical protein OsI_21603 [Oryza sativa Indica Group]
Ss06g03240.1	XP_006655779.1	88.3	410	58	467	1	389	2.40E-137	494.2	XP_006655779.1 PREDICTED: pre-mRNA-splicing factor 38B-like [Oryza brachyantha]
Ss11g14770.1	XP_003580401.1	47.2	299	3	299	219	507	1.60E-70	271.6	XP_003580401.1 uncharacterized protein LOC100845356 [Brachypodium distachyon]
Ss03g17550.1	OEL37665.1	79.1	91	1	91	1	90	1.50E-28	131	OEL37665.1 Microtubule-associated protein 70-3 [Dichanthelium oligosanthes]
Ss03g17540.1	OEL16078.1	50.4	540	3	528	2	540	1.90E-117	428.3	OEL16078.1 WEB family protein [Dichanthelium oligosanthes]
Ss03g17530.1	XP_004958692.1	86.3	431	1	430	10	440	7.10E-216	755	XP_004958692.1 CBL-interacting protein kinase 2 [Setaria italica]
Ss03g17520.1	RLN16596.1	88.1	396	1	394	1	395	2.40E-194	683.3	RLN16596.1 uroporphyrinogen decarboxylase [Panicum miliaceum]
Ss03g17590.1	XP_004984443.1	81.3	134	1	130	1	134	2.90E-50	203.4	XP_004984443.1 uncharacterized protein LOC101785373 [Setaria italica]
Ss03g17580.1	XP_010228647.1	81.1	296	19	312	30	325	1.30E-131	474.6	XP_010228647.1 peroxidase 2 [Brachypodium distachyon]
Ss03g17570.1	RLM85489.1	79.9	318	2	319	3	320	5.30E-144	515.8	RLM85489.1 cationic peroxidase 1-like [Panicum miliaceum]
Ss03g17560.1	XP_025794894.1	76.2	320	7	320	9	328	2.60E-135	486.9	XP_025794894.1 peroxidase P7-like [Panicum hallii]
Ss03g17610.1	XP_004984442.1	89.7	465	1	457	2	466	2.80E-247	859.4	XP_004984442.1 alanine--glyoxylate aminotransferase 2 homolog 3, mitochondrial [Setaria italica]
Ss03g17600.1	XP_020081858.1	62.6	369	31	386	36	404	6.20E-131	472.6	XP_020081858.1 putative nuclease HARBI1 [Ananas comosus]
Ss09g10190.1	RCV12104.1	73.8	776	1	741	2	773	0.00E+00	1169.1	RCV12104.1 hypothetical protein SETIT_2G242300v2 [Setaria italica]
Ss09g10180.1	XP_025801234.1	71.7	480	2	448	4	480	6.50E-188	662.1	XP_025801234.1 O-fucosyltransferase 34-like [Panicum hallii]
Ss09g10130.1	EEC84743.1	56.8	169	2	158	4	172	3.60E-24	116.7	EEC84743.1 hypothetical protein OsI_31740 [Oryza sativa Indica Group]
Ss09g10120.1	XP_004957100.1	74.8	135	56	190	60	193	3.10E-30	137.1	XP_004957100.1 uncharacterized protein LOC101761820 [Setaria italica]
Ss09g10110.1	XP_025876119.1	69.4	857	1	856	1	853	0.00E+00	1172.9	XP_025876119.1 pentatricopeptide repeat-containing protein At1g76280 isoform X1 [Oryza sativa Japonica Group]
Ss09g10100.1	XP_006653448.1	85.1	578	35	612	6	583	2.90E-276	956.1	XP_006653448.1 PREDICTED: chaperonin 60 subunit beta 4, chloroplastic-like [Oryza brachyantha]
Ss09g10170.1	XP_014758149.1	66.7	495	1	491	1	477	2.10E-155	554.3	XP_014758149.1 transcription factor BIM2 isoform X2 [Brachypodium distachyon]
Ss09g10160.1	XP_020150014.1	71.7	674	1	668	1	651	3.20E-268	929.5	XP_020150014.1 phosphatidylinositol 4-kinase gamma 5-like isoform X1 [Aegilops tauschii subsp. tauschii]
Ss09g10150.1	XP_015696518.1	69.9	442	1	416	1	435	7.60E-151	538.9	XP_015696518.1 PREDICTED: transcription factor bHLH49 [Oryza brachyantha]
Ss09g10140.1	BAJ86422.1	73.2	557	34	583	26	582	2.60E-237	826.6	BAJ86422.1 predicted protein [Hordeum vulgare subsp. vulgare]
Ss01g29430.1	AFA27855.1	98	101	1	101	47	147	1.00E-49	201.1	AFA27855.1 NADH-plastoquinone oxidoreductase subunit 4, partial (plastid) [Streptochaeta angustifolia]
Ss02g31020.1	XP_002438837.1	75.4	126	1	120	1	126	1.60E-40	170.6	XP_002438837.1 auxin-responsive protein SAUR71 [Sorghum bicolor]
Ss02g30990.1	XP_015631943.1	53.8	195	4	186	12	206	1.30E-54	218.8	XP_015631943.1 sprT-like domain-containing protein Spartan isoform X1 [Oryza sativa Japonica Group]
Ss02g31010.1	PUZ74245.1	80.9	435	2	427	5	439	5.70E-202	708.8	PUZ74245.1 hypothetical protein GQ55_1G048800 [Panicum hallii var. hallii]
Ss02g31000.1	XP_006656364.1	49.8	259	1	219	1	255	3.50E-46	190.3	XP_006656364.1 PREDICTED: uncharacterized protein LOC102708345 [Oryza brachyantha]
Ss02g30960.1	XP_015623592.1	76.4	908	74	968	74	977	0.00E+00	1321.6	XP_015623592.1 putative E3 ubiquitin-protein ligase LIN-1 [Oryza sativa Japonica Group]
Ss02g30950.1	XP_015688467.1	98.7	78	70	147	118	195	1.10E-35	154.8	XP_015688467.1 PREDICTED: peptidyl-prolyl cis-trans isomerase FKBP17-1, chloroplastic, partial [Oryza brachyantha]
Ss02g30980.1	EAZ37968.1	57.7	163	1	145	1	163	3.00E-41	173.3	EAZ37968.1 hypothetical protein OsJ_22315 [Oryza sativa Japonica Group]
Ss02g30970.1	XP_014755401.1	55.1	425	1	408	1	424	7.90E-111	406	XP_014755401.1 protein JASON isoform X1 [Brachypodium distachyon]
Ss04g17580.1	XP_015636018.1	80.8	313	6	300	2	304	3.00E-64	250.8	XP_015636018.1 heat stress transcription factor B-2a [Oryza sativa Japonica Group]
Ss05g17460.1	XP_025807482.1	67.9	402	2	367	1	399	1.40E-127	461.5	XP_025807482.1 transcription factor bHLH68-like [Panicum hallii]
Ss04g17560.1	XP_003580346.1	71.2	704	22	719	1	700	7.20E-282	974.9	XP_003580346.1 WD repeat-containing protein 44 [Brachypodium distachyon]
Ss04g17550.1	NP_001150043.1	71.7	381	1	365	1	370	1.90E-84	318.2	NP_001150043.1 dof zinc finger protein [Zea mays]
Ss04g17540.1	BAF07505.1	92	100	1	100	619	718	3.60E-46	189.1	BAF07505.1 Os02g0101700, partial [Oryza sativa Japonica Group]
Ss04g17520.1	XP_010933840.1	98.7	157	1	157	1	157	1.20E-88	330.9	XP_010933840.1 PREDICTED: ORM1-like protein 3 [Elaeis guineensis]
Ss04g17510.1	XP_020095107.1	55.3	810	18	824	48	855	1.30E-223	781.6	XP_020095107.1 pentatricopeptide repeat-containing protein At2g13600-like [Ananas comosus]
Ss05g17380.1	RLN30934.1	85.2	324	39	354	35	354	3.90E-156	556.2	RLN30934.1 putative lactoylglutathione lyase, chloroplastic [Panicum miliaceum]
Ss05g17390.1	ABF99440.1	44.1	136	134	255	159	294	1.40E-17	95.5	ABF99440.1 hypothetical protein LOC_Os03g59146 [Oryza sativa Japonica Group]
Ss05g17400.1	XP_003568720.1	87.3	245	1	241	1	241	2.40E-96	357.1	XP_003568720.1 auxin-responsive protein IAA17 [Brachypodium distachyon]
Ss05g17410.1	CCI55307.1	46.4	125	53	177	250	367	5.90E-25	119.8	CCI55307.1 PH01B001I13.3 [Phyllostachys edulis]
Ss05g17420.1	OEL37649.1	52.3	128	14	141	162	289	1.60E-28	131.3	OEL37649.1 B3 domain-containing protein [Dichanthelium oligosanthes]
Ss05g17430.1	AFA27855.1	94.1	102	1	102	47	147	1.90E-48	196.8	AFA27855.1 NADH-plastoquinone oxidoreductase subunit 4, partial (plastid) [Streptochaeta angustifolia]
Ss05g17440.1	XP_020180865.1	82.5	974	13	986	16	989	0.00E+00	1594.3	XP_020180865.1 ER membrane protein complex subunit 1 [Aegilops tauschii subsp. tauschii]
Ss01g25150.1	XP_004969427.1	71.7	304	30	311	17	318	1.00E-112	411.8	XP_004969427.1 calcineurin B-like protein 9 isoform X2 [Setaria italica]
Ss01g25140.1	XP_015628448.1	78.2	147	1	141	1	144	4.00E-27	126.3	XP_015628448.1 uncharacterized protein LOC4323860 [Oryza sativa Japonica Group]
Ss01g25130.1	RLN24482.1	78.5	270	111	378	1	270	1.60E-118	431.4	RLN24482.1 uncharacterized protein C2845_PM07G13450 [Panicum miliaceum]
Ss01g25120.1	XP_020548904.1	64.7	34	1	34	1	34	9.80E-06	53.9	XP_020548904.1 5'-3' exoribonuclease 3 [Sesamum indicum]
Ss01g25110.1	XP_006646030.1	91.6	802	28	829	26	827	0.00E+00	1627.5	XP_006646030.1 PREDICTED: beta-galactosidase 2 [Oryza brachyantha]
Ss01g25100.1	XP_002441624.1	90.7	375	4	378	3	377	1.40E-196	690.6	XP_002441624.1 V-type proton ATPase subunit C [Sorghum bicolor]
Ss01g25090.1	AFO63022.1	69.6	306	1	297	1	306	8.20E-123	445.3	AFO63022.1 ACC oxidase [Hordeum vulgare]
Ss01g25080.1	BAJ85001.1	46.4	634	14	613	21	642	3.80E-106	391	BAJ85001.1 predicted protein [Hordeum vulgare subsp. vulgare]
Ss01g25070.1	XP_004969417.1	81.8	550	1	541	1	540	9.90E-252	874.4	XP_004969417.1 lycopene epsilon cyclase, chloroplastic [Setaria italica]
Ss09g05720.1	XP_002457266.1	70.6	85	3	86	145	229	1.90E-27	126.7	XP_002457266.1 probable complex I intermediate-associated protein 30 [Sorghum bicolor]
Ss09g05730.1	AAM94327.1	32	197	6	131	809	1005	5.40E-18	95.9	AAM94327.1 putative reverse transcriptase [Sorghum bicolor]
Ss09g05680.1	OEL26879.1	64.4	146	2	144	22	167	2.40E-44	183.7	OEL26879.1 UDP-glycosyltransferase 90A1 [Dichanthelium oligosanthes]
Ss09g05690.1	OEL29409.1	63.6	187	23	182	37	223	1.50E-30	138.3	OEL29409.1 Leucine-rich repeat extensin-like protein 2 [Dichanthelium oligosanthes]
Ss09g05700.1	PUZ70365.1	61.3	481	1	478	1	473	1.40E-164	584.7	PUZ70365.1 hypothetical protein GQ55_2G223900 [Panicum hallii var. hallii]
Ss09g05710.1	OEL26879.1	63.3	139	13	146	20	157	4.80E-37	159.5	OEL26879.1 UDP-glycosyltransferase 90A1 [Dichanthelium oligosanthes]
Ss09g05640.1	XP_003574481.1	84.2	863	1	863	1	861	0.00E+00	1499.2	XP_003574481.1 probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 8 [Brachypodium distachyon]
Ss09g05650.1	BAE93349.1	85.9	865	1	855	1	860	0.00E+00	1431.4	BAE93349.1 potassium transporter [Phragmites australis]
Ss09g05660.1	XP_025804648.1	68.9	695	3	689	6	699	6.50E-256	888.6	XP_025804648.1 U-box domain-containing protein 19-like [Panicum hallii]
Ss09g05670.1	XP_003568250.1	81.5	65	4	68	106	170	4.50E-27	126.3	XP_003568250.1 TOM1-like protein 6 [Brachypodium distachyon]
Ss03g07650.1	XP_006651113.2	77.6	760	4	760	1243	1992	0.00E+00	1169.1	XP_006651113.2 PREDICTED: uncharacterized protein LOC102709260, partial [Oryza brachyantha]
Ss03g07660.1	XP_004985420.1	62	158	24	174	31	182	2.20E-43	180.6	XP_004985420.1 uncharacterized protein LOC101755687 [Setaria italica]
Ss03g07580.1	RLN18571.1	80.5	231	1	227	1	231	3.80E-88	329.7	RLN18571.1 hypothetical protein C2845_PM02G35220 [Panicum miliaceum]
Ss03g07600.1	XP_025797386.1	82.3	232	1	232	1	232	2.50E-98	363.6	XP_025797386.1 vacuolar protein-sorting-associated protein 37 homolog 1-like isoform X1 [Panicum hallii]
Ss03g07610.1	XP_006649524.1	79.6	432	1	430	1	429	4.00E-195	686	XP_006649524.1 PREDICTED: protein ASPARTIC PROTEASE IN GUARD CELL 2 [Oryza brachyantha]
Ss03g07620.1	RLM60659.1	35.1	524	1	473	1	482	3.40E-49	201.4	RLM60659.1 hypothetical protein C2845_PM14G10040 [Panicum miliaceum]
Ss03g07630.1	XP_015643087.1	74.2	66	1	62	1	66	1.00E-15	87.4	XP_015643087.1 protein transport protein Sec61 subunit gamma-like [Oryza sativa Japonica Group]
Ss03g07640.1	XP_025880126.1	67.7	1164	57	1216	66	1215	0.00E+00	1306.6	XP_025880126.1 uncharacterized protein LOC112938316 isoform X1 [Oryza sativa Japonica Group]
Ss11g02330.1	XP_015628867.1	92.8	83	1	83	1	83	3.40E-26	122.5	XP_015628867.1 mitochondrial import inner membrane translocase subunit TIM10 [Oryza sativa Japonica Group]
Ss11g02320.1	XP_004965498.1	91.3	322	2	323	1	322	3.90E-163	579.3	XP_004965498.1 CMP-sialic acid transporter 1 isoform X1 [Setaria italica]
Ss11g02350.1	XP_006663078.1	85.3	543	1	539	3	545	1.20E-260	904	XP_006663078.1 PREDICTED: sodium/hydrogen exchanger 2-like [Oryza brachyantha]
Ss11g02340.1	RLM69476.1	80.7	601	1	594	6	605	1.70E-265	920.2	RLM69476.1 hypothetical protein C2845_PM17G14180 [Panicum miliaceum]
Ss07g31880.1	XP_006663024.1	78.2	142	1	142	1	142	2.00E-58	230.3	XP_006663024.1 PREDICTED: uncharacterized protein LOC102718217 [Oryza brachyantha]
Ss11g02390.1	XP_015697734.1	53.4	320	3	316	600	917	9.80E-82	308.9	XP_015697734.1 PREDICTED: disease resistance protein RPM1-like [Oryza brachyantha]
Ss11g02380.1	XP_020177722.1	43	745	10	710	198	932	3.50E-122	444.5	XP_020177722.1 disease resistance protein RPM1-like [Aegilops tauschii subsp. tauschii]
Ss11g02410.1	XP_004977153.1	64.6	611	4	607	7	599	2.40E-193	680.6	XP_004977153.1 protein SUPPRESSOR OF GENE SILENCING 3 homolog [Setaria italica]
Ss11g02400.1	XP_003578799.1	56.7	781	24	700	5	780	2.60E-236	823.5	XP_003578799.1 translocase of chloroplast 90, chloroplastic [Brachypodium distachyon]
Ss07g31860.1	XP_006663024.1	80.7	140	1	140	1	140	8.00E-60	235	XP_006663024.1 PREDICTED: uncharacterized protein LOC102718217 [Oryza brachyantha]
Ss07g31870.1	XP_006663024.1	78.2	142	1	142	1	142	2.00E-58	230.3	XP_006663024.1 PREDICTED: uncharacterized protein LOC102718217 [Oryza brachyantha]
Ss07g31800.1	XP_006663024.1	78.2	142	1	142	1	142	2.00E-58	230.3	XP_006663024.1 PREDICTED: uncharacterized protein LOC102718217 [Oryza brachyantha]
Ss07g31810.1	XP_006663024.1	80.7	140	1	140	1	140	8.00E-60	235	XP_006663024.1 PREDICTED: uncharacterized protein LOC102718217 [Oryza brachyantha]
Ss07g31820.1	XP_006663024.1	78.2	142	1	142	1	142	2.00E-58	230.3	XP_006663024.1 PREDICTED: uncharacterized protein LOC102718217 [Oryza brachyantha]
Ss07g31830.1	XP_006663024.1	80.7	140	1	140	1	140	8.00E-60	235	XP_006663024.1 PREDICTED: uncharacterized protein LOC102718217 [Oryza brachyantha]
Ss08g12960.1	XP_020408110.1	72.3	94	1	94	326	419	1.60E-35	153.7	XP_020408110.1 uncharacterized protein LOC103655242 isoform X1 [Zea mays]
Ss08g12950.1	XP_006653556.1	78	323	1	323	1072	1389	9.00E-132	475.3	XP_006653556.1 PREDICTED: DNA-directed RNA polymerase III subunit 1 [Oryza brachyantha]
Ss08g12940.1	XP_015636431.1	82.2	921	10	871	1	921	0.00E+00	1508.8	XP_015636431.1 DNA-directed RNA polymerase III subunit 1 [Oryza sativa Japonica Group]
Ss08g12930.1	XP_015648938.1	84.8	396	3	397	203	597	3.40E-204	716.1	XP_015648938.1 probable receptor-like serine/threonine-protein kinase At5g57670 isoform X1 [Oryza sativa Japonica Group]
Ss08g12920.1	XP_003571579.1	47.7	277	1	237	1	263	9.40E-29	132.5	XP_003571579.1 zinc finger protein CONSTANS-LIKE 2 [Brachypodium distachyon]
Ss08g12890.1	RLN00812.1	82.7	75	2	76	53	127	1.40E-28	130.6	RLN00812.1 pleckstrin homology domain-containing protein 1-like [Panicum miliaceum]
Ss08g12880.1	XP_004973096.1	96.7	182	1	182	1	182	1.40E-96	357.5	XP_004973096.1 ADP-ribosylation factor 3 isoform X2 [Setaria italica]
Ss01g16900.1	XP_015648247.1	88.4	199	1	199	1	199	1.10E-99	367.9	XP_015648247.1 uncharacterized protein LOC107276869 [Oryza sativa Japonica Group]
Ss08g08420.1	XP_020174570.1	70.3	509	1	485	2	508	2.50E-206	723.4	XP_020174570.1 probable arabinosyltransferase ARAD1 [Aegilops tauschii subsp. tauschii]
Ss08g08390.1	XP_004973540.1	87.4	760	2	758	4	762	0.00E+00	1270.4	XP_004973540.1 protein ENHANCED DISEASE RESISTANCE 2-like isoform X2 [Setaria italica]
Ss08g08400.1	AGN30569.1	89.8	529	1	529	1	529	7.90E-286	987.6	AGN30569.1 phosphofructokinase PFK07 [Oryza sativa Indica Group]
Ss01g16860.1	RLN03769.1	37.7	318	18	327	258	566	2.50E-48	198	RLN03769.1 hypothetical protein C2845_PM13G14570 [Panicum miliaceum]
Ss01g16850.1	ACL53038.1	82.5	143	20	162	1	138	1.20E-48	198.7	ACL53038.1 unknown [Zea mays]
Ss01g16880.1	BAJ95704.1	77	274	1	273	1	274	2.00E-128	463.8	BAJ95704.1 predicted protein [Hordeum vulgare subsp. vulgare]
Ss08g08360.1	XP_003574544.1	67.4	417	1	393	1	416	4.80E-131	473	XP_003574544.1 uncharacterized protein LOC100835247 [Brachypodium distachyon]
Ss01g16940.1	XP_003569697.2	76.7	344	1	340	47	390	1.10E-150	538.1	XP_003569697.2 GDSL esterase/lipase At4g10955 isoform X1 [Brachypodium distachyon]
Ss01g16930.1	XP_025807588.1	76.5	264	1	262	1	256	8.00E-98	362.1	XP_025807588.1 uncharacterized protein LOC112886051 [Panicum hallii]
Ss08g08430.1	BAD03372.1	45.6	114	15	119	2	115	1.20E-16	91.3	BAD03372.1 hypothetical protein [Oryza sativa Japonica Group]
Ss08g08440.1	XP_015611416.1	71.1	114	1	110	1	112	8.40E-41	171.4	XP_015611416.1 gibberellin-regulated protein 12 [Oryza sativa Japonica Group]
Ss06g16440.1	XP_012700861.1	58.5	123	6	126	6	117	7.80E-26	124	XP_012700861.1 probable LRR receptor-like serine/threonine-protein kinase At3g47570 isoform X1 [Setaria italica]
