GeneId	BiologicalProcess	CellularComponent	MolecularFunction
Ss03g19380.1	GO:0006457(protein folding)	GO:0005737(cytoplasm)	-
Ss03g34230.1	GO:0015031(protein transport),GO:0006886(intracellular protein transport),GO:0016192(vesicle-mediated transport)	GO:0030117(membrane coat)	-
Ss11g03730.1	-	-	GO:0004386(helicase activity)
Ss11g03740.1	-	-	GO:0003676(nucleic acid binding),GO:0005524(ATP binding)
Ss11g03750.1	-	-	GO:0005515(protein binding)
Ss11g03760.1	-	-	GO:0003676(nucleic acid binding),GO:0005524(ATP binding),GO:0004386(helicase activity)
Ss11g03700.1	GO:0006904(vesicle docking involved in exocytosis),GO:0016192(vesicle-mediated transport)	-	-
Ss11g03710.1	-	-	GO:0003676(nucleic acid binding),GO:0005524(ATP binding),GO:0004386(helicase activity)
Ss07g34650.1	-	-	GO:0005509(calcium ion binding)
Ss07g34640.1	-	-	GO:0005515(protein binding)
Ss07g10020.1	GO:0055114(oxidation-reduction process)	-	GO:0005506(iron ion binding),GO:0016705(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen),GO:0020037(heme binding)
Ss07g34570.1	-	-	GO:0005515(protein binding)
Ss07g34560.1	-	-	GO:0003677(DNA binding)
Ss07g34590.1	-	-	GO:0016757(transferase activity, transferring glycosyl groups)
Ss07g34580.1	-	-	GO:0005515(protein binding)
Ss07g34610.1	GO:0006351(transcription, DNA-templated),GO:0006355(regulation of transcription, DNA-templated)	-	GO:0043565(sequence-specific DNA binding),GO:0003700(DNA-binding transcription factor activity)
Ss07g34600.1	-	-	GO:0016788(hydrolase activity, acting on ester bonds)
Ss07g34620.1	-	-	GO:0003755(peptidyl-prolyl cis-trans isomerase activity)
Ss03g28320.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003677(DNA binding)
Ss03g28330.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003677(DNA binding)
Ss03g28370.1	-	-	GO:0005515(protein binding)
Ss03g28380.1	GO:0007165(signal transduction)	GO:0000159(protein phosphatase type 2A complex)	GO:0019888(protein phosphatase regulator activity)
Ss08g01340.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss01g14860.1	-	-	GO:0005515(protein binding)
Ss08g01360.1	-	-	GO:0003677(DNA binding)
Ss08g01290.1	-	GO:0005634(nucleus)	-
Ss08g01320.1	GO:0006621(protein retention in ER lumen)	GO:0016021(integral component of membrane)	GO:0046923(ER retention sequence binding)
Ss01g14770.1	-	-	GO:0003860(3-hydroxyisobutyryl-CoA hydrolase activity)
Ss01g14780.1	-	-	GO:0005515(protein binding)
Ss07g03120.1	-	-	GO:0016787(hydrolase activity)
Ss08g01370.1	-	-	GO:0003677(DNA binding)
Ss01g14840.1	-	-	GO:0003924(GTPase activity),GO:0005525(GTP binding)
Ss07g33800.1	GO:0015969(guanosine tetraphosphate metabolic process)	-	-
Ss03g11640.1	-	-	GO:0008270(zinc ion binding),GO:0005515(protein binding)
Ss01g40240.1	-	-	GO:0005515(protein binding)
Ss11g17190.1	-	-	GO:0005515(protein binding)
Ss11g17180.1	GO:0006412(translation)	GO:0005622(intracellular),GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
Ss11g17150.1	-	-	GO:0042626(ATPase activity, coupled to transmembrane movement of substances)
Ss03g16060.1	-	-	GO:0003824(catalytic activity)
Ss03g16050.1	-	-	GO:0016788(hydrolase activity, acting on ester bonds)
Ss11g17230.1	-	-	GO:0005515(protein binding)
Ss11g17220.1	GO:0008272(sulfate transport),GO:0055085(transmembrane transport)	GO:0016021(integral component of membrane),GO:0016020(membrane)	GO:0015116(sulfate transmembrane transporter activity),GO:0008271(secondary active sulfate transmembrane transporter activity)
Ss08g11360.1	GO:0005978(glycogen biosynthetic process),GO:0009058(biosynthetic process)	-	GO:0008878(glucose-1-phosphate adenylyltransferase activity),GO:0016779(nucleotidyltransferase activity)
Ss08g11340.1	GO:0008299(isoprenoid biosynthetic process)	GO:0005737(cytoplasm)	GO:0004496(mevalonate kinase activity),GO:0005524(ATP binding)
Ss01g40230.1	-	-	GO:0005515(protein binding)
Ss08g11380.1	GO:0000413(protein peptidyl-prolyl isomerization)	-	GO:0003755(peptidyl-prolyl cis-trans isomerase activity)
Ss08g11390.1	GO:0006355(regulation of transcription, DNA-templated)	GO:0005634(nucleus)	GO:0003677(DNA binding)
Ss03g16110.1	-	-	GO:0005509(calcium ion binding)
Ss08g11400.1	-	-	GO:0005515(protein binding)
Ss01g40190.1	-	-	GO:0003824(catalytic activity)
Ss04g06440.1	GO:0055085(transmembrane transport)	-	-
Ss06g19950.1	-	GO:0005634(nucleus)	GO:0003677(DNA binding)
Ss11g16530.1	-	-	GO:0008641(ubiquitin-like modifier activating enzyme activity)
Ss11g16520.1	GO:0006464(cellular protein modification process)	-	GO:0008641(ubiquitin-like modifier activating enzyme activity)
Ss11g16470.1	GO:0055085(transmembrane transport)	-	-
Ss11g16490.1	-	-	GO:0005515(protein binding)
Ss11g16550.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss06g19970.1	-	-	GO:0005515(protein binding)
Ss02g25120.1	GO:0000387(spliceosomal snRNP assembly),GO:0000398(mRNA splicing, via spliceosome)	GO:0005685(U1 snRNP),GO:0005634(nucleus)	GO:0008270(zinc ion binding),GO:0003676(nucleic acid binding)
Ss03g22140.1	GO:0055114(oxidation-reduction process)	GO:0016020(membrane)	-
Ss08g12570.1	GO:0045454(cell redox homeostasis)	-	GO:0009055(electron transfer activity),GO:0015035(protein disulfide oxidoreductase activity)
Ss06g19960.1	GO:0006096(glycolytic process)	-	GO:0000287(magnesium ion binding),GO:0004743(pyruvate kinase activity),GO:0030955(potassium ion binding),GO:0003824(catalytic activity)
Ss08g12520.1	GO:0006508(proteolysis)	-	GO:0008234(cysteine-type peptidase activity)
Ss02g12980.1	-	-	GO:0008270(zinc ion binding)
Ss07g25330.1	GO:0055114(oxidation-reduction process)	-	GO:0016491(oxidoreductase activity)
Ss02g12950.1	-	-	GO:0005509(calcium ion binding)
Ss02g12940.1	GO:0055085(transmembrane transport)	GO:0016020(membrane)	-
Ss08g12590.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss08g12600.1	GO:0006568(tryptophan metabolic process)	-	GO:0004425(indole-3-glycerol-phosphate synthase activity),GO:0003824(catalytic activity)
Ss02g12910.1	GO:0015979(photosynthesis),GO:0050821(protein stabilization)	GO:0009523(photosystem II),GO:0016020(membrane)	GO:0042301(phosphate ion binding)
Ss06g19900.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003700(DNA-binding transcription factor activity),GO:0003677(DNA binding)
Ss07g25310.1	GO:0055114(oxidation-reduction process)	-	GO:0016491(oxidoreductase activity)
Ss03g22200.1	GO:0006694(steroid biosynthetic process),GO:0055114(oxidation-reduction process)	-	GO:0003854(3-beta-hydroxy-delta5-steroid dehydrogenase activity),GO:0016616(oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor)
Ss03g22190.1	GO:0045454(cell redox homeostasis)	-	-
Ss10g00020.1	GO:0006355(regulation of transcription, DNA-templated),GO:0016573(histone acetylation)	-	GO:0004402(histone acetyltransferase activity)
Ss07g08350.1	GO:0055085(transmembrane transport)	GO:0016021(integral component of membrane)	-
Ss11g00480.1	GO:0006886(intracellular protein transport)	-	GO:0008536(Ran GTPase binding)
Ss11g00510.1	GO:0006526(arginine biosynthetic process)	GO:0005737(cytoplasm)	GO:0003991(acetylglutamate kinase activity)
Ss11g00500.1	-	-	GO:0003676(nucleic acid binding)
Ss11g00520.1	-	-	GO:0003676(nucleic acid binding)
Ss11g00550.1	-	-	GO:0003677(DNA binding)
Ss11g00540.1	GO:0006812(cation transport),GO:0055085(transmembrane transport)	GO:0016021(integral component of membrane)	GO:0015299(solute:proton antiporter activity)
Ss11g00570.1	GO:0005975(carbohydrate metabolic process)	-	GO:0004553(hydrolase activity, hydrolyzing O-glycosyl compounds)
Ss11g00560.1	GO:0005975(carbohydrate metabolic process)	-	GO:0004553(hydrolase activity, hydrolyzing O-glycosyl compounds)
Ss07g08300.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss07g08310.1	GO:0006351(transcription, DNA-templated)	-	GO:0003677(DNA binding),GO:0003899(DNA-directed 5'-3' RNA polymerase activity),GO:0008270(zinc ion binding)
Ss02g27240.1	GO:0006355(regulation of transcription, DNA-templated)	GO:0005634(nucleus)	GO:0003700(DNA-binding transcription factor activity),GO:0043565(sequence-specific DNA binding)
Ss07g08330.1	-	-	GO:0005525(GTP binding),GO:0003924(GTPase activity)
Ss07g08340.1	-	-	GO:0005515(protein binding)
Ss07g26940.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003677(DNA binding)
Ss03g05600.1	GO:0007018(microtubule-based movement)	-	GO:0003777(microtubule motor activity),GO:0005524(ATP binding),GO:0008017(microtubule binding),GO:0005515(protein binding)
Ss09g09860.1	-	-	GO:0046983(protein dimerization activity)
Ss03g05560.1	-	-	GO:0003824(catalytic activity)
Ss03g05580.1	GO:0001522(pseudouridine synthesis),GO:0009451(RNA modification)	-	GO:0003723(RNA binding),GO:0009982(pseudouridine synthase activity),GO:0016866(intramolecular transferase activity)
Ss02g27310.1	GO:0055085(transmembrane transport)	GO:0016020(membrane)	GO:0015267(channel activity)
Ss05g00560.1	GO:0055085(transmembrane transport),GO:0006816(calcium ion transport),GO:0006812(cation transport)	GO:0016021(integral component of membrane)	GO:0015369(calcium:proton antiporter activity),GO:0008324(cation transmembrane transporter activity)
Ss05g00570.1	-	-	GO:0003676(nucleic acid binding),GO:0005524(ATP binding)
Ss05g00540.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003700(DNA-binding transcription factor activity)
Ss10g06090.1	GO:0006508(proteolysis)	-	GO:0008234(cysteine-type peptidase activity)
Ss05g00520.1	-	GO:0016020(membrane)	-
Ss03g11430.1	GO:0009089(lysine biosynthetic process via diaminopimelate),GO:0055114(oxidation-reduction process)	-	GO:0008839(4-hydroxy-tetrahydrodipicolinate reductase),GO:0070402(NADPH binding)
Ss02g25110.1	-	-	GO:0005515(protein binding)
Ss05g01540.1	GO:0006508(proteolysis)	-	GO:0004185(serine-type carboxypeptidase activity)
Ss05g00580.1	GO:0006508(proteolysis)	-	GO:0008233(peptidase activity)
Ss05g00590.1	GO:0006508(proteolysis)	-	GO:0008233(peptidase activity)
Ss02g00570.1	GO:0006075((1->3)-beta-D-glucan biosynthetic process)	GO:0000148(1,3-beta-D-glucan synthase complex),GO:0016020(membrane)	GO:0003843(1,3-beta-D-glucan synthase activity)
Ss02g00530.1	GO:0016567(protein ubiquitination)	-	GO:0004842(ubiquitin-protein transferase activity),GO:0005515(protein binding)
Ss02g00540.1	-	-	GO:0003677(DNA binding)
Ss02g00550.1	GO:0006812(cation transport),GO:0055085(transmembrane transport)	GO:0016021(integral component of membrane)	GO:0008324(cation transmembrane transporter activity)
Ss10g06130.1	GO:0055114(oxidation-reduction process)	-	GO:0008270(zinc ion binding),GO:0016491(oxidoreductase activity)
Ss02g00500.1	-	-	GO:0005509(calcium ion binding),GO:0005515(protein binding)
Ss02g00510.1	GO:0006486(protein glycosylation)	-	GO:0008375(acetylglucosaminyltransferase activity)
Ss02g20140.1	-	GO:0016021(integral component of membrane)	GO:0016757(transferase activity, transferring glycosyl groups)
Ss06g09700.1	GO:0055114(oxidation-reduction process),GO:0005975(carbohydrate metabolic process)	-	GO:0051287(NAD binding),GO:0016491(oxidoreductase activity),GO:0050661(NADP binding),GO:0008270(zinc ion binding),GO:0016832(aldehyde-lyase activity),GO:0003824(catalytic activity)
Ss06g09690.1	GO:0006364(rRNA processing)	-	-
Ss01g30220.1	GO:0017004(cytochrome complex assembly)	-	GO:0020037(heme binding)
Ss06g03300.1	-	-	GO:0003924(GTPase activity),GO:0005525(GTP binding)
Ss06g03280.1	GO:0006508(proteolysis)	-	GO:0004181(metallocarboxypeptidase activity),GO:0008270(zinc ion binding)
Ss06g03270.1	GO:0008272(sulfate transport),GO:0055085(transmembrane transport)	GO:0016021(integral component of membrane),GO:0016020(membrane)	GO:0015116(sulfate transmembrane transporter activity),GO:0008271(secondary active sulfate transmembrane transporter activity)
Ss06g09680.1	-	-	GO:0005515(protein binding)
Ss06g03260.1	GO:0006886(intracellular protein transport),GO:0016192(vesicle-mediated transport)	GO:0030117(membrane coat)	GO:0005515(protein binding),GO:0005198(structural molecule activity)
Ss01g27470.1	GO:0005975(carbohydrate metabolic process)	-	GO:0004553(hydrolase activity, hydrolyzing O-glycosyl compounds)
Ss06g09660.1	-	-	GO:0003677(DNA binding)
Ss07g12470.1	GO:0046488(phosphatidylinositol metabolic process)	-	GO:0016307(phosphatidylinositol phosphate kinase activity),GO:0005524(ATP binding),GO:0016308(1-phosphatidylinositol-4-phosphate 5-kinase activity)
Ss08g17720.1	-	-	GO:0005515(protein binding)
Ss08g17780.1	GO:0022904(respiratory electron transport chain)	GO:0016020(membrane)	GO:0009055(electron transfer activity),GO:0016491(oxidoreductase activity)
Ss07g26970.1	GO:0007165(signal transduction)	-	GO:0005515(protein binding)
Ss03g17550.1	GO:0007010(cytoskeleton organization)	-	GO:0008017(microtubule binding)
Ss04g21100.1	-	-	GO:0005507(copper ion binding)
Ss03g17530.1	GO:0007165(signal transduction),GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss04g21120.1	GO:0055114(oxidation-reduction process),GO:0046274(lignin catabolic process)	GO:0048046(apoplast)	GO:0005507(copper ion binding),GO:0016491(oxidoreductase activity),GO:0052716(hydroquinone:oxygen oxidoreductase activity)
Ss07g10370.1	-	-	GO:0003677(DNA binding)
Ss04g21060.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003677(DNA binding),GO:0003700(DNA-binding transcription factor activity)
Ss04g21090.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss03g17560.1	GO:0006979(response to oxidative stress),GO:0055114(oxidation-reduction process),GO:0042744(hydrogen peroxide catabolic process)	-	GO:0004601(peroxidase activity),GO:0020037(heme binding)
Ss03g17610.1	-	-	GO:0003824(catalytic activity),GO:0008483(transaminase activity),GO:0030170(pyridoxal phosphate binding)
Ss04g21140.1	GO:0006468(protein phosphorylation)	-	GO:0005524(ATP binding),GO:0004672(protein kinase activity)
Ss03g13650.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003677(DNA binding)
Ss02g16260.1	GO:0055114(oxidation-reduction process)	-	GO:0016491(oxidoreductase activity)
Ss07g26980.1	GO:0007165(signal transduction)	-	GO:0005515(protein binding)
Ss11g11770.1	-	-	GO:0003824(catalytic activity),GO:0033926(glycopeptide alpha-N-acetylgalactosaminidase activity)
Ss04g23670.1	-	-	GO:0005515(protein binding)
Ss06g00550.1	GO:0005975(carbohydrate metabolic process)	-	GO:0004564(beta-fructofuranosidase activity),GO:0004575(sucrose alpha-glucosidase activity),GO:0004553(hydrolase activity, hydrolyzing O-glycosyl compounds)
Ss06g00540.1	GO:0055114(oxidation-reduction process)	-	GO:0005507(copper ion binding),GO:0016491(oxidoreductase activity)
Ss06g12460.1	GO:0005975(carbohydrate metabolic process)	-	GO:0004650(polygalacturonase activity)
Ss07g23670.1	GO:0055085(transmembrane transport)	GO:0016020(membrane)	GO:0022857(transmembrane transporter activity)
Ss06g00500.1	-	-	GO:0008168(methyltransferase activity)
Ss06g00490.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss06g12420.1	-	-	GO:0003677(DNA binding),GO:0003682(chromatin binding)
Ss11g03890.1	GO:0006508(proteolysis)	-	GO:0004185(serine-type carboxypeptidase activity)
Ss09g10110.1	-	-	GO:0005515(protein binding)
Ss06g12390.1	-	-	GO:0005515(protein binding)
Ss09g10170.1	-	-	GO:0046983(protein dimerization activity)
Ss06g12440.1	-	-	GO:0005515(protein binding)
Ss11g03920.1	-	-	GO:0008146(sulfotransferase activity)
Ss06g00570.1	GO:0006401(RNA catabolic process)	-	GO:0003723(RNA binding),GO:0003724(RNA helicase activity),GO:0003676(nucleic acid binding),GO:0005524(ATP binding)
Ss06g19820.1	GO:0006468(protein phosphorylation)	-	GO:0005524(ATP binding),GO:0004672(protein kinase activity)
Ss06g19830.1	-	-	GO:0005515(protein binding),GO:0008270(zinc ion binding)
Ss06g19800.1	GO:0000160(phosphorelay signal transduction system),GO:0007165(signal transduction),GO:0016310(phosphorylation)	-	GO:0000155(phosphorelay sensor kinase activity),GO:0016772(transferase activity, transferring phosphorus-containing groups)
Ss06g19870.1	-	-	GO:0003824(catalytic activity)
Ss06g19840.1	GO:0006564(L-serine biosynthetic process),GO:0055114(oxidation-reduction process)	-	GO:0004617(phosphoglycerate dehydrogenase activity),GO:0016616(oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor),GO:0051287(NAD binding)
Ss06g19850.1	-	-	GO:0005515(protein binding)
Ss05g15120.1	GO:0006886(intracellular protein transport)	GO:0005622(intracellular)	-
Ss05g15130.1	GO:0006508(proteolysis)	-	GO:0008234(cysteine-type peptidase activity)
Ss06g19880.1	GO:0000398(mRNA splicing, via spliceosome),GO:0000387(spliceosomal snRNP assembly)	GO:0005732(small nucleolar ribonucleoprotein complex),GO:0005681(spliceosomal complex)	-
Ss05g15070.1	-	-	GO:0005515(protein binding)
Ss02g12220.1	GO:0055085(transmembrane transport)	GO:0016020(membrane)	-
Ss01g17650.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss10g03120.1	-	-	GO:0043531(ADP binding)
