Gene_ID	SwissProt_ID	Identity	Align Length	Q start	Q end	T start	T end	E value	Score	Function
Ss02g30950.1	O81864|FK171_ARATH	80	85	63	147	142	226	3.83E-43	145	Peptidyl-prolyl cis-trans isomerase FKBP17-1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=FKBP17-1 PE=2 SV=1
Ss02g30980.1	Q700D9|MYBF_ARATH	72.308	65	8	72	14	78	2.40E-26	102	Putative Myb family transcription factor At1g14600 OS=Arabidopsis thaliana OX=3702 GN=At1g14600 PE=2 SV=2
Ss02g30970.1	F4IDQ5|JASON_ARATH	27.215	474	1	407	29	442	2.30E-22	102	Protein JASON OS=Arabidopsis thaliana OX=3702 GN=JASON PE=2 SV=1
Ss04g17580.1	Q7XRX3|HFB2A_ORYSJ	72.816	309	6	300	2	304	2.04E-120	350	Heat stress transcription factor B-2a OS=Oryza sativa subsp. japonica OX=39947 GN=HSFB2A PE=2 SV=2
Ss05g17460.1	Q8S3D1|BH068_ARATH	39.461	408	2	360	1	400	9.72E-63	209	Transcription factor bHLH68 OS=Arabidopsis thaliana OX=3702 GN=BHLH68 PE=1 SV=2
Ss04g17560.1	Q9XSC3|WDR44_BOVIN	36.364	352	250	587	509	846	4.28E-51	195	WD repeat-containing protein 44 OS=Bos taurus OX=9913 GN=WDR44 PE=1 SV=1
Ss04g17550.1	Q9SXG8|DOF1_ORYSJ	61.598	388	1	365	1	378	3.51E-124	365	Dof zinc finger protein 1 OS=Oryza sativa subsp. japonica OX=39947 GN=DOF1 PE=2 SV=1
Ss04g17540.1	Q6WWW4|UPL3_ARATH	81	100	1	100	1789	1888	1.12E-48	168	E3 ubiquitin-protein ligase UPL3 OS=Arabidopsis thaliana OX=3702 GN=UPL3 PE=1 SV=1
Ss04g17520.1	Q9CPZ6|ORML3_MOUSE	42.361	144	12	154	8	151	2.07E-32	115	ORM1-like protein 3 OS=Mus musculus OX=10090 GN=Ormdl3 PE=2 SV=1
Ss04g17510.1	Q9LFL5|PP390_ARATH	33.465	759	73	815	61	747	2.34E-132	418	Pentatricopeptide repeat-containing protein At5g16860 OS=Arabidopsis thaliana OX=3702 GN=PCMP-H92 PE=2 SV=1
Ss05g17380.1	Q8W593|LGUC_ARATH	72.881	354	1	354	1	350	0	532	Probable lactoylglutathione lyase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At1g67280 PE=1 SV=1
Ss05g17400.1	Q75GB1|IAA17_ORYSJ	76.265	257	1	241	1	257	2.00E-122	351	Auxin-responsive protein IAA17 OS=Oryza sativa subsp. japonica OX=39947 GN=IAA17 PE=2 SV=1
Ss05g17420.1	Q10GM3|Y3222_ORYSJ	43.791	153	14	158	43	185	3.46E-28	111	B3 domain-containing protein Os03g0622200 OS=Oryza sativa subsp. japonica OX=39947 GN=Os03g0622200 PE=2 SV=1
Ss05g17430.1	Q6L3E0|NU4C_SACHY	92.157	102	1	102	47	147	1.44E-59	193	NAD(P)H-quinone oxidoreductase chain 4, chloroplastic OS=Saccharum hybrid OX=15819 GN=ndhD PE=2 SV=2
Ss05g17440.1	Q5ZL00|EMC1_CHICK	28.78	1025	25	986	16	983	7.37E-118	388	ER membrane protein complex subunit 1 OS=Gallus gallus OX=9031 GN=EMC1 PE=2 SV=1
Ss01g25150.1	Q3HRN8|CNBL9_ORYSJ	72.203	295	32	311	1	290	4.00E-146	415	Calcineurin B-like protein 9 OS=Oryza sativa subsp. japonica OX=39947 GN=CBL9 PE=2 SV=2
Ss01g25130.1	Q07379|YD057_YEAST	24.18	244	133	356	56	292	1.67E-07	56.2	Putative uncharacterized protein YDL057W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YDL057W PE=4 SV=1
Ss01g25120.1	Q74ZA0|XRN2_ASHGO	51.429	35	1	35	1	35	1.80E-07	48.5	5'-3' exoribonuclease 2 OS=Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) OX=284811 GN=RAT1 PE=3 SV=4
Ss01g25110.1	Q8W0A1|BGAL2_ORYSJ	91.125	800	30	829	28	827	0	1566	Beta-galactosidase 2 OS=Oryza sativa subsp. japonica OX=39947 GN=Os01g0580200 PE=2 SV=1
Ss01g25100.1	Q9SDS7|VATC_ARATH	75.532	376	3	377	2	374	0	600	V-type proton ATPase subunit C OS=Arabidopsis thaliana OX=3702 GN=VHA-C PE=1 SV=1
Ss01g25090.1	Q9ZUN4|ACCO1_ARATH	54.027	298	1	295	9	304	4.28E-113	332	1-aminocyclopropane-1-carboxylate oxidase 1 OS=Arabidopsis thaliana OX=3702 GN=ACO1 PE=2 SV=1
Ss01g25080.1	Q9LI74|CHUP1_ARATH	34.564	298	147	427	109	397	7.85E-35	144	Protein CHUP1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CHUP1 PE=1 SV=1
Ss01g25070.1	Q38932|LCYE_ARATH	70.08	498	44	541	38	524	0	723	Lycopene epsilon cyclase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=LUT2 PE=1 SV=2
Ss09g05720.1	Q9LQI7|CIA30_ARATH	68.75	64	21	84	162	225	1.23E-25	97.4	Probable complex I intermediate-associated protein 30 OS=Arabidopsis thaliana OX=3702 GN=At1g17350 PE=1 SV=2
Ss09g05680.1	Q9SY84|U90A2_ARATH	44	150	1	144	6	153	2.12E-29	114	UDP-glycosyltransferase 90A2 OS=Arabidopsis thaliana OX=3702 GN=UGT90A2 PE=2 SV=1
Ss09g05690.1	O48809|LRX2_ARATH	63.309	139	60	198	86	223	4.42E-48	171	Leucine-rich repeat extensin-like protein 2 OS=Arabidopsis thaliana OX=3702 GN=LRX2 PE=2 SV=1
Ss09g05700.1	Q9ZVX4|U90A1_ARATH	42.526	475	15	479	9	469	9.41E-119	359	UDP-glycosyltransferase 90A1 OS=Arabidopsis thaliana OX=3702 GN=UGT90A1 PE=2 SV=1
Ss09g05710.1	Q9ZVX4|U90A1_ARATH	41.096	146	4	143	1	142	2.21E-26	106	UDP-glycosyltransferase 90A1 OS=Arabidopsis thaliana OX=3702 GN=UGT90A1 PE=2 SV=1
Ss09g05640.1	Q9LRA7|TPS9_ARATH	64.014	867	1	860	1	867	0	1201	Probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 9 OS=Arabidopsis thaliana OX=3702 GN=TPS9 PE=2 SV=1
Ss09g05650.1	Q6H4R6|HAK23_ORYSJ	82.4	875	2	855	4	877	0	1462	Potassium transporter 23 OS=Oryza sativa subsp. japonica OX=39947 GN=HAK23 PE=2 SV=1
Ss09g05660.1	O80742|PUB19_ARATH	37.518	693	11	688	10	685	7.41E-138	423	U-box domain-containing protein 19 OS=Arabidopsis thaliana OX=3702 GN=PUB19 PE=2 SV=1
Ss09g05670.1	O80910|TOL6_ARATH	71.667	60	6	65	101	160	4.57E-27	108	TOM1-like protein 6 OS=Arabidopsis thaliana OX=3702 GN=TOL6 PE=1 SV=1
Ss03g07650.1	Q8N5D0|WDTC1_HUMAN	29.518	498	26	482	18	470	9.79E-50	189	WD and tetratricopeptide repeats protein 1 OS=Homo sapiens OX=9606 GN=WDTC1 PE=1 SV=2
Ss03g07580.1	Q5K4R0|MAD47_ORYSJ	77.876	226	3	221	20	244	2.78E-115	332	MADS-box transcription factor 47 OS=Oryza sativa subsp. japonica OX=39947 GN=MADS47 PE=1 SV=2
Ss03g07600.1	Q3EBL9|VP372_ARATH	56.277	231	8	231	4	215	2.06E-75	230	Vacuolar protein-sorting-associated protein 37 homolog 2 OS=Arabidopsis thaliana OX=3702 GN=VPS37-2 PE=1 SV=1
Ss03g07610.1	Q6F4N5|AP25_ORYSJ	80.63	413	21	430	26	438	0	675	Aspartyl protease 25 OS=Oryza sativa subsp. japonica OX=39947 GN=AP25 PE=2 SV=1
Ss03g07620.1	Q9FZ70|FDL1_ARATH	24.79	476	25	451	5	416	2.06E-14	78.6	F-box/FBD/LRR-repeat protein At1g13570 OS=Arabidopsis thaliana OX=3702 GN=At1g13570 PE=2 SV=1
Ss03g07630.1	P38385|SC61G_ORYSJ	71.212	66	1	62	1	66	1.12E-24	89.7	Protein transport protein Sec61 subunit gamma OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0178400 PE=3 SV=1
Ss11g02330.1	Q9ZW33|TIM10_ARATH	73.333	75	3	77	2	76	1.05E-37	124	Mitochondrial import inner membrane translocase subunit TIM10 OS=Arabidopsis thaliana OX=3702 GN=TIM10 PE=1 SV=1
Ss11g02320.1	Q654D9|CSTR1_ORYSJ	89.441	322	2	323	1	322	0	595	CMP-sialic acid transporter 1 OS=Oryza sativa subsp. japonica OX=39947 GN=CSTLP1 PE=2 SV=1
Ss11g02350.1	Q56XP4|NHX2_ARATH	73.295	528	7	530	12	539	0	789	Sodium/hydrogen exchanger 2 OS=Arabidopsis thaliana OX=3702 GN=NHX2 PE=2 SV=2
Ss11g02340.1	B9G2X9|KN14O_ORYSJ	80.435	598	1	594	6	603	0	931	Kinesin-like protein KIN-14O OS=Oryza sativa subsp. japonica OX=39947 GN=KIN14O PE=2 SV=2
Ss11g02390.1	P0DO10|PIKS2_ORYSJ	27.434	339	1	292	659	987	1.83E-16	83.6	Disease resistance protein Piks-2 OS=Oryza sativa subsp. japonica OX=39947 GN=PIKS-2 PE=3 SV=1
Ss11g02380.1	P0DO10|PIKS2_ORYSJ	24.49	833	21	697	184	996	2.72E-46	181	Disease resistance protein Piks-2 OS=Oryza sativa subsp. japonica OX=39947 GN=PIKS-2 PE=3 SV=1
Ss11g02410.1	A1Y2B7|SGS3_MAIZE	65.268	596	24	607	19	594	0	702	Protein SUPPRESSOR OF GENE SILENCING 3 homolog OS=Zea mays OX=4577 GN=SGS3 PE=1 SV=1
Ss11g02400.1	Q6S5G3|TOC90_ARATH	39.087	701	101	693	79	773	4.88E-144	442	Translocase of chloroplast 90, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=TOC90 PE=1 SV=1
Ss07g31860.1	Q9M015|Y5161_ARATH	34.259	108	28	135	56	157	2.49E-06	47.8	Uncharacterized protein At5g01610 OS=Arabidopsis thaliana OX=3702 GN=At5g01610 PE=1 SV=1
Ss07g31810.1	Q9M015|Y5161_ARATH	34.259	108	28	135	56	157	2.49E-06	47.8	Uncharacterized protein At5g01610 OS=Arabidopsis thaliana OX=3702 GN=At5g01610 PE=1 SV=1
Ss07g31830.1	Q9M015|Y5161_ARATH	34.259	108	28	135	56	157	2.49E-06	47.8	Uncharacterized protein At5g01610 OS=Arabidopsis thaliana OX=3702 GN=At5g01610 PE=1 SV=1
Ss08g12950.1	F4JXF9|NRPC1_ARATH	53.012	332	1	323	1052	1376	7.92E-103	333	DNA-directed RNA polymerase III subunit 1 OS=Arabidopsis thaliana OX=3702 GN=NRPC1 PE=2 SV=1
Ss08g12940.1	F4JXF9|NRPC1_ARATH	60.022	928	16	870	6	930	0	1127	DNA-directed RNA polymerase III subunit 1 OS=Arabidopsis thaliana OX=3702 GN=NRPC1 PE=2 SV=1
Ss08g12930.1	Q5XF57|Y5576_ARATH	51.414	389	5	383	170	550	7.91E-137	406	Probable receptor-like serine/threonine-protein kinase At5g57670 OS=Arabidopsis thaliana OX=3702 GN=At5g57670 PE=2 SV=1
Ss08g12920.1	Q9SK53|COL3_ARATH	38.528	231	14	205	51	278	3.31E-31	119	Zinc finger protein CONSTANS-LIKE 3 OS=Arabidopsis thaliana OX=3702 GN=COL3 PE=1 SV=1
Ss08g12890.1	Q9ST43|PH1_ARATH	59.74	77	2	76	43	119	2.86E-26	97.4	Pleckstrin homology domain-containing protein 1 OS=Arabidopsis thaliana OX=3702 GN=PH1 PE=2 SV=2
Ss08g12880.1	P40940|ARF3_ARATH	90.055	181	1	181	1	181	2.17E-123	348	ADP-ribosylation factor 3 OS=Arabidopsis thaliana OX=3702 GN=ARF3 PE=1 SV=2
