Gene	KeggOrtholog
Ss02g31020.1	K14488 SAUR; SAUR family protein
Ss02g31010.1	K00457 HPD, hppD; 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]
Ss04g17540.1	K10590 TRIP12; E3 ubiquitin-protein ligase TRIP12 [EC:2.3.2.26]
Ss05g17380.1	K01759 GLO1, gloA; lactoylglutathione lyase [EC:4.4.1.5]
Ss05g17400.1	K14484 IAA; auxin-responsive protein IAA
Ss05g17430.1	K05575 ndhD; NAD(P)H-quinone oxidoreductase subunit 4 [EC:7.1.1.2]
Ss01g25150.1	K06268 PPP3R, CNB; serine/threonine-protein phosphatase 2B regulatory subunit
Ss01g25120.1	K20553 XRN4; 5'-3' exoribonuclease 4 [EC:3.1.13.-]
Ss01g25090.1	K05933 E1.14.17.4; aminocyclopropanecarboxylate oxidase [EC:1.14.17.4]
Ss01g25070.1	K06444 lcyE, crtL2; lycopene epsilon-cyclase [EC:5.5.1.18]
Ss09g05640.1	K16055 TPS; trehalose 6-phosphate synthase/phosphatase [EC:2.4.1.15 3.1.3.12]
Ss09g05650.1	K03549 kup; KUP system potassium uptake protein
Ss03g07650.1	K11807 WDTC1; WD and tetratricopeptide repeats protein 1
Ss03g07600.1	K12185 VPS37; ESCRT-I complex subunit VPS37
Ss11g02330.1	K17778 TIM10; mitochondrial import inner membrane translocase subunit TIM10
Ss11g02320.1	K15272 SLC35A1_2_3; solute carrier family 35 (UDP-sugar transporter), member A1/2/3
Ss07g31890.1	K11308 MYST1, MOF, KAT8; histone acetyltransferase MYST1 [EC:2.3.1.48]
Ss08g12950.1	K03018 RPC1, POLR3A; DNA-directed RNA polymerase III subunit RPC1 [EC:2.7.7.6]
Ss08g12940.1	K03018 RPC1, POLR3A; DNA-directed RNA polymerase III subunit RPC1 [EC:2.7.7.6]
Ss08g12880.1	K07942 ARL1; ADP-ribosylation factor-like protein 1
Ss08g08400.1	K00850 pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]
Ss01g16880.1	K06124 PHOSPHO1; phosphoethanolamine/phosphocholine phosphatase [EC:3.1.3.75]
Ss06g16390.1	K03935 NDUFS2; NADH dehydrogenase (ubiquinone) Fe-S protein 2 [EC:7.1.1.2 1.6.99.3]
Ss04g01800.1	K10901 BLM, RECQL3, SGS1; bloom syndrome protein [EC:3.6.4.12]
Ss04g01790.1	K09648 IMP2; mitochondrial inner membrane protease subunit 2 [EC:3.4.21.-]
Ss07g20950.1	K15111 SLC25A26; solute carrier family 25 (mitochondrial S-adenosylmethionine transporter), member 26
Ss07g20960.1	K12850 PRPF38B; pre-mRNA-splicing factor 38B
Ss04g02270.1	K02946 RP-S10, MRPS10, rpsJ; small subunit ribosomal protein S10
Ss04g02230.1	K22390 ACP7; acid phosphatase type 7
Ss05g20870.1	K05933 E1.14.17.4; aminocyclopropanecarboxylate oxidase [EC:1.14.17.4]
Ss05g20910.1	K01893 NARS, asnS; asparaginyl-tRNA synthetase [EC:6.1.1.22]
Ss05g20880.1	K17398 DNMT3A; DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37]
Ss08g08370.1	K17824 DCUN1D4_5; DCN1-like protein 4/5
Ss09g08360.1	K11446 KDM5, JARID1; histone demethylase JARID1 [EC:1.14.11.-]
Ss10g04760.1	K00574 cfa; cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]
Ss05g22150.1	K01919 gshA; glutamate--cysteine ligase [EC:6.3.2.2]
Ss03g25630.1	K11968 ARIH1; ariadne-1 [EC:2.3.2.31]
Ss03g25610.1	K19983 EXOC1, SEC3; exocyst complex component 1
Ss04g12430.1	K02537 MAD2; mitotic spindle assembly checkpoint protein MAD2
Ss04g12460.1	K10730 RECQL4; ATP-dependent DNA helicase Q4 [EC:3.6.4.12]
Ss04g12470.1	K09775 K09775; uncharacterized protein
Ss04g12440.1	K00134 GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
Ss04g12480.1	K01638 aceB, glcB; malate synthase [EC:2.3.3.9]
Ss08g04410.1	K10277 KDM8, JMJD5; lysine-specific demethylase 8 [EC:1.14.11.27]
Ss08g04360.1	K01188 E3.2.1.21; beta-glucosidase [EC:3.2.1.21]
Ss08g04380.1	K00454 LOX2S; lipoxygenase [EC:1.13.11.12]
Ss08g04370.1	K01188 E3.2.1.21; beta-glucosidase [EC:3.2.1.21]
Ss08g04400.1	K14514 EIN3; ethylene-insensitive protein 3
Ss08g04390.1	K14431 TGA; transcription factor TGA
Ss11g17370.1	K09595 HM13; minor histocompatibility antigen H13 [EC:3.4.23.-]
Ss11g17380.1	K11662 ACTR6, ARP6; actin-related protein 6
Ss01g00310.1	K02132 ATPeF1A, ATP5A1, ATP1; F-type H+-transporting ATPase subunit alpha
Ss01g00380.1	K20869 IRX9; putative beta-1,4-xylosyltransferase IRX9 [EC:2.4.2.-]
Ss11g00760.1	K12885 RBMX, HNRNPG; heterogeneous nuclear ribonucleoprotein G
Ss06g19260.1	K14554 UTP21, WDR36; U3 small nucleolar RNA-associated protein 21
Ss06g19280.1	K10088 OS9; protein OS-9
Ss06g19220.1	K01507 ppa; inorganic pyrophosphatase [EC:3.6.1.1]
Ss06g19290.1	K01870 IARS, ileS; isoleucyl-tRNA synthetase [EC:6.1.1.5]
Ss03g27490.1	K10664 ATL6S; E3 ubiquitin-protein ligase ATL6/9/15/31/42/55 [EC:2.3.2.27]
Ss02g07850.1	K03549 kup; KUP system potassium uptake protein
Ss02g07860.1	K14153 thiDE; hydroxymethylpyrimidine kinase / phosphomethylpyrimidine kinase / thiamine-phosphate diphosphorylase [EC:2.7.1.49 2.7.4.7 2.5.1.3]
Ss02g07870.1	K00128 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
Ss02g07890.1	K09338 HD-ZIP; homeobox-leucine zipper protein
Ss01g25490.1	K05575 ndhD; NAD(P)H-quinone oxidoreductase subunit 4 [EC:7.1.1.2]
Ss01g25450.1	K06944 K06944; uncharacterized protein
Ss03g25040.1	K00012 UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]
Ss03g25000.1	K01850 E5.4.99.5; chorismate mutase [EC:5.4.99.5]
Ss03g25020.1	K20867 GAUT12S; galacturonosyltransferase 12/13/14/15 [EC:2.4.1.-]
Ss02g33550.1	K14324 SAP18; histone deacetylase complex subunit SAP18
Ss02g33490.1	K16465 CETN1; centrin-1
Ss08g15860.1	K06943 NOG1; nucleolar GTP-binding protein
Ss01g34580.1	K07953 SAR1; GTP-binding protein SAR1 [EC:3.6.5.-]
Ss11g06520.1	K16675 ZDHHC9_14_18; palmitoyltransferase ZDHHC9/14/18 [EC:2.3.1.225]
Ss05g03520.1	K02935 RP-L7, MRPL12, rplL; large subunit ribosomal protein L7/L12
Ss05g03490.1	K21626 CCNDBP1, DIP1, GCIP; cyclin-D1-binding protein 1
Ss05g03500.1	K08730 PTDSS2; phosphatidylserine synthase 2 [EC:2.7.8.29]
Ss05g03480.1	K07767 KATNA1; katanin p60 ATPase-containing subunit A1 [EC:5.6.1.1]
Ss05g03460.1	K15918 GLYK; D-glycerate 3-kinase [EC:2.7.1.31]
Ss11g06500.1	K10871 RAD51L3, RAD51D; RAD51-like protein 3
Ss03g10670.1	K14026 SEL1, SEL1L; SEL1 protein
Ss03g10690.1	K20929 GLX; glyoxal/methylglyoxal oxidase [EC:1.2.3.15]
Ss03g10660.1	K13081 LAR; leucoanthocyanidin reductase [EC:1.17.1.3]
Ss04g04090.1	K15472 CYP71D55; premnaspirodiene oxygenase [EC:1.14.14.151]
Ss04g04050.1	K14787 MRD1, RBM19; multiple RNA-binding domain-containing protein 1
Ss04g04040.1	K14787 MRD1, RBM19; multiple RNA-binding domain-containing protein 1
Ss04g04100.1	K04121 E4.2.3.19; ent-kaurene synthase [EC:4.2.3.19]
Ss01g08510.1	K15401 CYP86A1; long-chain fatty acid omega-monooxygenase [EC:1.14.14.80]
Ss01g08500.1	K13508 GPAT; glycerol-3-phosphate acyltransferase [EC:2.3.1.15 2.3.1.198]
Ss01g08450.1	K02213 CDC6; cell division control protein 6
Ss02g26790.1	K13248 PHOSPHO2; pyridoxal phosphate phosphatase PHOSPHO2 [EC:3.1.3.74]
Ss02g26800.1	K15084 SLC25A16, GDA, LEU5; solute carrier family 25 (mitochondrial carrier protein), member 16
Ss02g26820.1	K14496 PYL; abscisic acid receptor PYR/PYL family
Ss02g26780.1	K13347 PXMP2, PMP22; peroxisomal membrane protein 2
Ss06g02730.1	K15292 STXBP1, MUNC18-1; syntaxin-binding protein 1
Ss06g02660.1	K00615 E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]
Ss06g02670.1	K00800 aroA; 3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]
Ss06g02700.1	K22073 IBA57; transferase CAF17, mitochondrial [EC:2.1.-.-]
Ss06g02680.1	K10669 TRPT1, TPT1; 2'-phosphotransferase [EC:2.7.1.160]
Ss10g12730.1	K05572 ndhA; NAD(P)H-quinone oxidoreductase subunit 1 [EC:7.1.1.2]
Ss10g12740.1	K15436 TRPO3, MTR10; transportin-3
Ss10g12670.1	K11583 PPP2R3; serine/threonine-protein phosphatase 2A regulatory subunit B''
Ss03g13150.1	K02872 RP-L13Ae, RPL13A; large subunit ribosomal protein L13Ae
Ss03g13160.1	K03841 FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]
Ss03g13130.1	K13993 HSP20; HSP20 family protein
Ss03g13140.1	K13993 HSP20; HSP20 family protein
Ss03g13110.1	K13993 HSP20; HSP20 family protein
Ss03g13090.1	K13993 HSP20; HSP20 family protein
Ss03g13100.1	K13993 HSP20; HSP20 family protein
Ss09g12040.1	K13947 PIN; auxin efflux carrier family
Ss09g12010.1	K10782 FATA; fatty acyl-ACP thioesterase A [EC:3.1.2.14]
Ss09g11990.1	K11844 USP16_45; ubiquitin carboxyl-terminal hydrolase 16/45 [EC:3.4.19.12]
Ss05g05090.1	K02887 RP-L20, MRPL20, rplT; large subunit ribosomal protein L20
Ss02g04860.1	K07466 RFA1, RPA1, rpa; replication factor A1
Ss02g04790.1	K10357 MYO5; myosin V
Ss02g04850.1	K09422 MYBP; transcription factor MYB, plant
Ss02g04840.1	K08336 ATG12; ubiquitin-like protein ATG12
Ss05g10810.1	K20855 B3GALT1S; beta-1,3-galactosyltransferase 1/2/3/4/5/7/8 [EC:2.4.1.-]
Ss01g11600.1	K01845 hemL; glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]
Ss01g11590.1	K01464 DPYS, dht, hydA; dihydropyrimidinase [EC:3.5.2.2]
Ss05g10730.1	K07466 RFA1, RPA1, rpa; replication factor A1
Ss05g10780.1	K12831 SF3B4, SAP49; splicing factor 3B subunit 4
Ss02g01440.1	K12829 SF3B2, SAP145, CUS1; splicing factor 3B subunit 2
Ss02g01430.1	K14773 UTP23; U3 small nucleolar RNA-associated protein 23
Ss06g14060.1	K11979 UBR7; E3 ubiquitin-protein ligase UBR7 [EC:2.3.2.27]
Ss01g05090.1	K09597 SPPL2B; signal peptide peptidase-like 2B [EC:3.4.23.-]
Ss09g06300.1	K09422 MYBP; transcription factor MYB, plant
Ss09g06220.1	K13148 CPSF3L, INTS11; integrator complex subunit 11 [EC:3.1.27.-]
Ss09g06280.1	K00083 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]
Ss07g33490.1	K21777 CCNB; G2/mitotic-specific cyclin-B, other
Ss07g33540.1	K02971 RP-S21e, RPS21; small subunit ribosomal protein S21e
Ss07g33530.1	K14487 GH3; auxin responsive GH3 gene family
Ss07g33560.1	K05931 CARM1, PRMT4; type I protein arginine methyltransferase [EC:2.1.1.319]
Ss03g18240.1	K10144 RCHY1, PIRH2; RING finger and CHY zinc finger domain-containing protein 1 [EC:2.3.2.27]
Ss06g11050.1	K06699 PSME4; proteasome activator subunit 4
Ss06g11020.1	K12616 EDC4; enhancer of mRNA-decapping protein 4
Ss06g11010.1	K15425 PPP4R2; serine/threonine-protein phosphatase 4 regulatory subunit 2
Ss04g21540.1	K09286 EREBP; EREBP-like factor
Ss04g21530.1	K09284 AP2; AP2-like factor, euAP2 lineage
Ss04g03530.1	K10393 KIF2_24, MCAK; kinesin family member 2/24
Ss04g03510.1	K13146 INTS9; integrator complex subunit 9
Ss04g03550.1	K01738 cysK; cysteine synthase [EC:2.5.1.47]
Ss04g03580.1	K15919 HPR2_3; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
Ss10g15420.1	K00311 ETFDH; electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]
Ss10g15490.1	K05275 E1.1.1.65; pyridoxine 4-dehydrogenase [EC:1.1.1.65]
Ss03g29330.1	K15718 LOX1_5; linoleate 9S-lipoxygenase [EC:1.13.11.58]
Ss03g29340.1	K20222 IPO5, KPNB3, RANBP5; importin-5
Ss03g29350.1	K12817 PRPF18, PRP18; pre-mRNA-splicing factor 18
Ss03g29360.1	K07025 K07025; putative hydrolase of the HAD superfamily
Ss03g29370.1	K07025 K07025; putative hydrolase of the HAD superfamily
Ss05g22290.1	K09510 DNAJB4; DnaJ homolog subfamily B member 4
Ss03g18250.1	K14309 NUP93, NIC96; nuclear pore complex protein Nup93
Ss05g22310.1	K05857 PLCD; phosphatidylinositol phospholipase C, delta [EC:3.1.4.11]
Ss05g22330.1	K09523 DNAJC3; DnaJ homolog subfamily C member 3
Ss05g22370.1	K00253 IVD, ivd; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]
Ss10g02910.1	K14972 PAXIP1, PTIP; PAX-interacting protein 1
Ss10g02900.1	K00059 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
Ss07g05590.1	K02183 CALM; calmodulin
Ss03g08390.1	K02946 RP-S10, MRPS10, rpsJ; small subunit ribosomal protein S10
Ss03g08420.1	K11778 DHDDS, RER2, SRT1; ditrans,polycis-polyprenyl diphosphate synthase [EC:2.5.1.87]
Ss03g08410.1	K03124 TFIIB, GTF2B, SUA7, tfb; transcription initiation factor TFIIB
Ss07g26840.1	K13462 MIN7; guanine nucleotide-exchange factor
Ss07g26830.1	K19995 SCAMP; secretory carrier-associated membrane protein
Ss04g12220.1	K18156 ATP23, XRCC6BP1; mitochondrial inner membrane protease ATP23 [EC:3.4.24.-]
Ss04g12210.1	K18584 ACTR3, ARP3; actin-related protein 3
Ss03g36900.1	K07901 RAB8A, MEL; Ras-related protein Rab-8A
Ss03g36880.1	K01859 E5.5.1.6; chalcone isomerase [EC:5.5.1.6]
Ss03g36840.1	K01254 LTA4H; leukotriene-A4 hydrolase [EC:3.3.2.6]
Ss07g21880.1	K02992 RP-S7, MRPS7, rpsG; small subunit ribosomal protein S7
Ss07g21840.1	K03881 ND4; NADH-ubiquinone oxidoreductase chain 4 [EC:7.1.1.2]
Ss07g21820.1	K02967 RP-S2, MRPS2, rpsB; small subunit ribosomal protein S2
Ss07g21810.1	K03046 rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]
Ss07g21800.1	K05531 MNN10; mannan polymerase II complex MNN10 subunit [EC:2.4.1.-]
Ss05g16060.1	K09646 SCPEP1; serine carboxypeptidase 1 [EC:3.4.16.-]
Ss05g16110.1	K12896 SFRS7; splicing factor, arginine/serine-rich 7
Ss04g10530.1	K05658 ABCB1, CD243; ATP-binding cassette, subfamily B (MDR/TAP), member 1 [EC:7.6.2.2]
Ss04g10520.1	K15378 SLC45A1_2_4; solute carrier family 45, member 1/2/4
Ss04g10550.1	K05298 GAPA; glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) [EC:1.2.1.13]
Ss04g10570.1	K11290 SET, TAF1, I2PP2A; template-activating factor I
Ss04g10580.1	K17675 SUPV3L1, SUV3; ATP-dependent RNA helicase SUPV3L1/SUV3 [EC:3.6.4.13]
Ss06g18770.1	K09422 MYBP; transcription factor MYB, plant
Ss06g18760.1	K00083 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]
Ss05g01170.1	K07936 RAN; GTP-binding nuclear protein Ran
Ss05g01180.1	K02265 COX5B; cytochrome c oxidase subunit 5b
Ss05g01160.1	K03661 ATPeV0B, ATP6F; V-type H+-transporting ATPase 21kDa proteolipid subunit
Ss05g01090.1	K03243 EIF5B; translation initiation factor 5B
Ss05g01100.1	K03243 EIF5B; translation initiation factor 5B
Ss05g01120.1	K21989 TMEM63; calcium permeable stress-gated cation channel
Ss05g05590.1	K21894 CYGB; cytoglobin
Ss07g13680.1	K10398 KIF11, EG5; kinesin family member 11
Ss07g13690.1	K10398 KIF11, EG5; kinesin family member 11
Ss01g23700.1	K15382 SLC50A, SWEET; solute carrier family 50 (sugar transporter)
Ss03g00540.1	K14500 BSK; BR-signaling kinase [EC:2.7.11.1]
Ss03g15090.1	K14496 PYL; abscisic acid receptor PYR/PYL family
Ss03g15120.1	K05909 E1.10.3.2; laccase [EC:1.10.3.2]
Ss03g15060.1	K02993 RP-S7e, RPS7; small subunit ribosomal protein S7e
Ss03g15070.1	K00645 fabD; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]
Ss09g16780.1	K02927 RP-L40e, RPL40; large subunit ribosomal protein L40e
Ss09g16810.1	K08099 E3.1.1.14; chlorophyllase [EC:3.1.1.14]
Ss09g16850.1	K14402 CPSF2, CFT2; cleavage and polyadenylation specificity factor subunit 2
Ss01g43510.1	K22544 SAMHD1; deoxynucleoside triphosphate triphosphohydrolase SAMHD1 [EC:3.1.5.-]
Ss01g43490.1	K00626 E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
Ss07g22120.1	K03255 TIF31, CLU1; protein TIF31
Ss01g37410.1	K15104 SLC25A11, OGC; solute carrier family 25 (mitochondrial oxoglutarate transporter), member 11
Ss01g37430.1	K00430 E1.11.1.7; peroxidase [EC:1.11.1.7]
Ss02g02930.1	K06927 DPH6; diphthine-ammonia ligase [EC:6.3.1.14]
Ss02g02920.1	K08960 CSNK1E; casein kinase 1, epsilon [EC:2.7.11.1]
Ss02g02910.1	K12608 CAF16; CCR4-NOT complex subunit CAF16
Ss02g02970.1	K11446 KDM5, JARID1; histone demethylase JARID1 [EC:1.14.11.-]
Ss05g09390.1	K07976 RAB; Rab family, other
Ss05g09420.1	K10732 GINS1, PSF1; GINS complex subunit 1
Ss01g15450.1	K01301 NAALAD; N-acetylated-alpha-linked acidic dipeptidase [EC:3.4.17.21]
Ss01g15420.1	K15075 MET18, MMS19; DNA repair/transcription protein MET18/MMS19
Ss01g15430.1	K02950 RP-S12, MRPS12, rpsL; small subunit ribosomal protein S12
Ss01g15410.1	K01867 WARS, trpS; tryptophanyl-tRNA synthetase [EC:6.1.1.2]
Ss01g15390.1	K11793 CRBN; cereblon
Ss01g15400.1	K00029 E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
Ss01g15370.1	K10406 KIFC2_3; kinesin family member C2/C3
Ss01g15380.1	K14490 AHP; histidine-containing phosphotransfer peotein
Ss03g28970.1	K02970 RP-S21, MRPS21, rpsU; small subunit ribosomal protein S21
Ss03g28910.1	K13692 IAGLU; UDP-glucose:(indol-3-yl)acetate beta-D-glucosyltransferase [EC:2.4.1.121]
Ss03g28950.1	K14611 SLC23A1_2, SVCT1_2; solute carrier family 23 (nucleobase transporter), member 1/2
Ss01g19350.1	K10581 UBE2O; ubiquitin-conjugating enzyme E2 O [EC:2.3.2.24]
Ss03g11780.1	K08235 E2.4.1.207; xyloglucan:xyloglucosyl transferase [EC:2.4.1.207]
Ss01g19970.1	K17725 ETHE1; sulfur dioxygenase [EC:1.13.11.18]
Ss01g19960.1	K00430 E1.11.1.7; peroxidase [EC:1.11.1.7]
Ss01g19910.1	K12836 U2AF1; splicing factor U2AF 35 kDa subunit
Ss11g17050.1	K17867 DPH4, DNAJC24; diphthamide biosynthesis protein 4
Ss01g31130.1	K01115 PLD1_2; phospholipase D1/2 [EC:3.1.4.4]
Ss08g17950.1	K11584 PPP2R5; serine/threonine-protein phosphatase 2A regulatory subunit B'
Ss07g12980.1	K10666 RNF5; E3 ubiquitin-protein ligase RNF5 [EC:2.3.2.27]
Ss07g12920.1	K10688 UBE2W, UBC16; ubiquitin-conjugating enzyme E2 W [EC:2.3.2.25]
Ss08g17990.1	K01623 ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
Ss04g19150.1	K09422 MYBP; transcription factor MYB, plant
Ss02g34990.1	K14497 PP2C; protein phosphatase 2C [EC:3.1.3.16]
Ss02g34950.1	K15015 SLC32A, VGAT; solute carrier family 32 (vesicular inhibitory amino acid transporter)
Ss02g34970.1	K14509 ETR, ERS; ethylene receptor [EC:2.7.13.-]
Ss02g34910.1	K02520 infC, MTIF3; translation initiation factor IF-3
Ss02g34930.1	K11262 ACACA; acetyl-CoA carboxylase / biotin carboxylase 1 [EC:6.4.1.2 6.3.4.14 2.1.3.15]
Ss03g12510.1	K03978 engB; GTP-binding protein
Ss03g12570.1	K20858 MCU; calcium uniporter protein, mitochondrial
Ss03g12590.1	K02936 RP-L7Ae, RPL7A; large subunit ribosomal protein L7Ae
Ss04g05530.1	K09419 HSFF; heat shock transcription factor, other eukaryote
Ss04g05590.1	K22733 NIPA, SLC57A2S; magnesium transporter
Ss04g05570.1	K03327 TC.MATE, SLC47A, norM, mdtK, dinF; multidrug resistance protein, MATE family
Ss01g29940.1	K06269 PPP1C; serine/threonine-protein phosphatase PP1 catalytic subunit [EC:3.1.3.16]
Ss01g29920.1	K19985 EXOC6, SEC15; exocyst complex component 6
Ss01g29910.1	K15442 TAD3, ADAT3; tRNA-specific adenosine deaminase 3
Ss01g29890.1	K11000 CALS; callose synthase [EC:2.4.1.-]
Ss01g29970.1	K14165 K14165; atypical dual specificity phosphatase [EC:3.1.3.16 3.1.3.48]
Ss02g24760.1	K03883 ND5; NADH-ubiquinone oxidoreductase chain 5 [EC:7.1.1.2]
Ss02g24750.1	K14271 NAAT; nicotianamine aminotransferase [EC:2.6.1.80]
Ss02g24740.1	K22376 KCMF1, FIGC; E3 ubiquitin-protein ligase KCMF1 [EC:2.3.2.27]
Ss02g24780.1	K09510 DNAJB4; DnaJ homolog subfamily B member 4
Ss01g27860.1	K12261 HACL1; 2-hydroxyacyl-CoA lyase 1 [EC:4.1.-.-]
Ss01g27820.1	K11593 ELF2C, AGO; eukaryotic translation initiation factor 2C
Ss01g27790.1	K05391 CNGC; cyclic nucleotide gated channel, plant
Ss01g27780.1	K03327 TC.MATE, SLC47A, norM, mdtK, dinF; multidrug resistance protein, MATE family
Ss07g19590.1	K12600 SKI3, TTC37; superkiller protein 3
Ss07g19550.1	K14007 SEC24; protein transport protein SEC24
Ss07g19540.1	K20359 RABAC1, PRAF1; PRA1 family protein 1
Ss07g19560.1	K07466 RFA1, RPA1, rpa; replication factor A1
Ss07g19530.1	K21374 UGT85A; 7-deoxyloganetin glucosyltransferase [EC:2.4.1.324]
Ss06g07370.1	K15128 MED6; mediator of RNA polymerase II transcription subunit 6
Ss06g07310.1	K05864 PPID, CYPD; peptidyl-prolyl isomerase D [EC:5.2.1.8]
Ss05g12840.1	K09285 OVM, ANT; AP2-like factor, ANT lineage
Ss04g16430.1	K09493 CCT1, TCP1; T-complex protein 1 subunit alpha
Ss04g16420.1	K17912 CCD7; 9-cis-beta-carotene 9',10'-cleaving dioxygenase [EC:1.13.11.68]
Ss05g12780.1	K12603 CNOT6, CCR4; CCR4-NOT transcription complex subunit 6 [EC:3.1.13.4]
Ss05g12790.1	K12603 CNOT6, CCR4; CCR4-NOT transcription complex subunit 6 [EC:3.1.13.4]
Ss05g12810.1	K12603 CNOT6, CCR4; CCR4-NOT transcription complex subunit 6 [EC:3.1.13.4]
Ss11g09040.1	K05582 ndhK; NAD(P)H-quinone oxidoreductase subunit K [EC:7.1.1.2]
Ss11g09090.1	K01427 URE; urease [EC:3.5.1.5]
Ss11g09100.1	K00939 adk, AK; adenylate kinase [EC:2.7.4.3]
Ss04g17580.1	K09419 HSFF; heat shock transcription factor, other eukaryote
Ss06g17510.1	K03064 PSMC6, RPT4; 26S proteasome regulatory subunit T4
Ss07g29590.1	K01051 E3.1.1.11; pectinesterase [EC:3.1.1.11]
Ss08g03400.1	K13456 RIN4; RPM1-interacting protein 4
Ss08g03410.1	K22651 RNF4; E3 ubiquitin-protein ligase RNF4 [EC:2.3.2.27]
Ss08g03360.1	K11844 USP16_45; ubiquitin carboxyl-terminal hydrolase 16/45 [EC:3.4.19.12]
Ss08g03430.1	K08679 E5.1.3.6; UDP-glucuronate 4-epimerase [EC:5.1.3.6]
Ss07g28030.1	K15032 MTERFD; mTERF domain-containing protein, mitochondrial
Ss07g28080.1	K08867 WNK, PRKWNK; WNK lysine deficient protein kinase [EC:2.7.11.1]
Ss07g28100.1	K14411 MSI; RNA-binding protein Musashi
Ss08g09500.1	K14808 DDX54, DBP10; ATP-dependent RNA helicase DDX54/DBP10 [EC:3.6.4.13]
